assay	experiment_ID	orf_name_a	orf_name_b	orf_name_f1	orf_name_f2	F1_CCSB_ORF_ID	F2_CCSB_ORF_ID	source_dataset	score	result_at_0_RRS
GPCA	Sv01	YDR265W	YDR329C	YDR329C	YDR265W	2924	114	GI_PSN_PCC_gt_0.5	11.671541066711885	False
GPCA	Sv01	YDR265W	YGR077C	YGR077C	YDR265W	3379	114	GI_PSN_PCC_gt_0.3	10.364134655008051	False
GPCA	Sv01	YDR265W	YGR168C	YGR168C	YDR265W	3740	114	YeRI	11.145932145820517	False
GPCA	Sv01	YDR265W	YGR133W	YGR133W	YDR265W	622	114	GI_PSN_PCC_gt_0.3	9.573647187493323	False
GPCA	Sv01	YDR265W	YGR133W	YGR133W	YDR265W	622	114	YeRI	9.573647187493323	False
GPCA	Sv01	YGL127C	YOL135C	YGL127C	YOL135C	1360	1151	Ito-core	9.586839787961827	False
GPCA	Sv01	YOL135C	YOR174W	YOL135C	YOR174W	1151	3742	Uetz-screen	12.825356341479335	False
GPCA	Sv01	YCL056C	YCR019W	YCR019W	YCL056C	1154	2853	GI_PSN_PCC_gt_0.3	9.722807531169547	False
GPCA	Sv01	YAL056W	YCR019W	YAL056W	YCR019W	5099	1154	GI_PSN_PCC_gt_0.3	10.612868497291041	False
GPCA	Sv01	YBR241C	YDR479C	YDR479C	YBR241C	3149	1155	CCSB-YI1	12.135067945777818	False
GPCA	Sv01	YBR241C	YIR038C	YIR038C	YBR241C	4673	1155	CCSB-YI1	13.975131456921341	False
GPCA	Sv01	YLR017W	YPR017C	YPR017C	YLR017W	2975	1156	CCSB-YI1	9.586839787961827	False
GPCA	Sv01	YDR255C	YMR135C	YDR255C	YMR135C	115	3174	YeRI	9.573647187493323	False
GPCA	Sv01	YDR255C	YGL227W	YGL227W	YDR255C	3384	115	GI_PSN_PCC_gt_0.3	9.221587121264806	False
GPCA	Sv01	YDR255C	YKL144C	YDR255C	YKL144C	115	3423	Uetz-screen	9.451211111832329	False
GPCA	Sv01	YOR208W	YPR075C	YOR208W	YPR075C	5275	1160	PrePPI-LR600	9.698704666770345	False
GPCA	Sv01	YCR071C	YNL177C	YNL177C	YCR071C	3690	1162	CYC2008	9.625708843064466	False
GPCA	Sv01	YBR205W	YPR134W	YBR205W	YPR134W	1166	1786	scRRS-v2	10.459431618637298	False
GPCA	Sv01	YBR297W	YBR298C	YBR297W	YBR298C	1668	1167	GI_PSN_PCC_gt_0.3	9.493855449240824	False
GPCA	Sv01	YBR298C	YIR033W	YBR298C	YIR033W	1167	3371	GI_PSN_PCC_gt_0.2	10.401946123976536	False
GPCA	Sv01	YBR087W	YER185W	YER185W	YBR087W	2463	1168	scRRS-v2	9.507794640198696	False
GPCA	Sv01	YBR087W	YDR229W	YDR229W	YBR087W	3864	1168	CCSB-YI1	10.074141462752506	False
GPCA	Sv01	YGL115W	YPL278C	YPL278C	YGL115W	1171	5141	YeRI	11.279610581052484	False
GPCA	Sv01	YBR237W	YGR013W	YGR013W	YBR237W	4269	1179	YeRI		
GPCA	Sv01	YBR237W	YER138W-A	YER138W-A	YBR237W	4457	1179	scRRS-v2		
GPCA	Sv01	YLR019W	YOR043W	YOR043W	YLR019W	2700	1180	Ito-core	18.150957059803336	True
GPCA	Sv01	YJL012C	YPR154W	YPR154W	YJL012C	1185	4660	Lit-BM-13	11.184875342908283	False
GPCA	Sv01	YLL039C	YPR154W	YLL039C	YPR154W	5151	1185	Lit-BM-13	13.930090492697849	False
GPCA	Sv01	YER099C	YKL181W	YER099C	YKL181W	1186	1814	Ito-core	10.612868497291041	False
