orf_name	screened_as_AD	screened_as_DB
YBR293W	True	True
YBR294W	True	True
YBR295W	False	True
YBR296C	True	True
YBR296C-A	True	False
YBR297W	True	True
YBR298C-A	True	True
YBR300C	True	True
YCL001W	True	True
YCL001W-B	True	True
YCL004W	True	False
YCL005W	True	True
YCL007C	True	True
YCL008C	True	True
YCL009C	True	True
YCL010C	True	True
YCL011C	True	True
YCL017C	True	True
YCL018W	True	True
YCL021W-A	True	True
YCL022C	True	True
YCL023C	False	True
YCL024W	True	True
YCL025C	True	True
YCL026C-A	True	True
YCL027C-A	True	False
YCL027W	True	True
YCL028W	True	True
YCL030C	True	True
YCL031C	True	False
YCL033C	True	True
YCL034W	True	False
YCL035C	True	True
YCL037C	True	False
YCL038C	True	False
YCL039W	True	True
YCL040W	True	True
YCL041C	True	True
YCL042W	True	True
YCL043C	False	True
YCL044C	True	True
YCL045C	True	True
YCL046W	True	True
YCL047C	True	False
YCL048W	True	True
YCL049C	False	True
YCL050C	True	True
YCL051W	True	True
YCL052C	True	True
YCL055W	True	False
YCL056C	True	True
YCL057C-A	True	True
YCL057W	True	True
YCL058C	True	False
YCL059C	True	True
YCL063W	True	True
YCL064C	True	False
YCL065W	True	True
YCL066W	True	True
YCL068C	True	True
YCL073C	True	False
YCL074W	True	False
YCL075W	True	True
YCL076W	True	True
YCR001W	True	False
YCR002C	True	True
YCR003W	True	True
YCR004C	True	True
YCR005C	True	False
YCR007C	True	True
YCR008W	True	True
YCR009C	True	True
YCR010C	True	True
YCR011C	True	True
YCR012W	True	False
YCR014C	True	True
YCR015C	True	False
YCR016W	True	True
YCR019W	True	False
YCR020C	True	True
YCR020C-A	True	True
YCR020W-B	True	True
YCR021C	True	True
YCR023C	True	False
YCR024C	True	True
YCR024C-A	True	False
YCR025C	True	True
YCR026C	True	True
YCR027C	True	True
YCR028C	True	False
YCR028C-A	True	False
YCR030C	True	False
YCR031C	True	True
YCR032W	True	False
YCR033W	True	True
YCR034W	True	True
YCR036W	True	True
YCR037C	True	True
YCR038C	False	True
YCR038W-A	True	True
YCR039C	True	True
YCR041W	True	True
YCR042C	True	False
YCR043C	True	False
YCR044C	True	True
YCR045C	True	True
YCR045W-A	True	True
YCR046C	True	True
YCR047C	True	True
YCR047W-A	True	True
YCR048W	True	True
YCR049C	True	True
YCR050C	True	True
YCR051W	True	True
YCR052W	True	True
YCR053W	True	True
YCR054C	True	True
YCR057C	True	True
YCR059C	True	True
YCR060W	True	True
YCR061W	True	True
YCR063W	True	True
YCR064C	True	True
YCR065W	True	False
YCR067C	True	True
YCR068W	True	True
YCR069W	True	False
YCR071C	True	True
YCR072C	True	False
YCR073C	True	True
YCR073W-A	True	True
YCR076C	True	False
YCR079W	True	True
YCR081C-A	True	True
YCR082W	True	False
YCR083W	True	True
YCR084C	True	False
YCR085W	True	True
YCR086W	True	True
YCR087C-A	True	True
YCR087W	True	False
YCR088W	True	True
YCR089W	True	False
YCR090C	True	True
YCR091W	False	True
YCR092C	True	False
YCR093W	True	False
YCR094W	True	True
YCR095C	True	True
YCR096C	True	False
YCR097W	True	True
YCR097W-A	True	True
YCR098C	True	True
YCR099C	True	True
YCR100C	True	True
YCR101C	True	False
YCR102C	True	True
YCR102W-A	True	True
YCR105W	True	True
YCR106W	True	True
YCR107W	True	True
YDL001W	True	True
YDL002C	True	False
YDL003W	True	True
YDL004W	True	True
YDL005C	True	False
YDL006W	True	True
YDL007W	True	True
YDL008W	True	False
YDL009C	True	True
YDL010W	True	True
YDL011C	True	True
YDL012C	True	False
YDL013W	True	False
YDL014W	True	True
YDL015C	True	True
YDL016C	True	True
YDL017W	True	False
YDL018C	True	True
YDL020C	True	False
YDL021W	True	True
YDL022W	True	True
YDL023C	True	True
YDL024C	True	True
YDL025C	True	True
YDL025W-A	True	True
YDL026W	True	True
YDL027C	True	True
YDL028C	True	False
YDL029W	True	True
YDL030W	True	True
YDL031W	False	True
YDL032W	True	False
YDL033C	True	True
YDL034W	True	True
YDL035C	True	False
YDL036C	True	True
YDL037C	True	True
YDL039C	True	True
YDL040C	True	True
YDL041W	True	True
YDL042C	True	True
YDL043C	True	False
YDL044C	True	True
YDL045C	True	True
YDL046W	True	True
YDL047W	True	True
YDL048C	True	False
YDL049C	True	True
YDL050C	True	True
YDL051W	True	True
YDL052C	True	True
YDL053C	False	True
YDL054C	True	True
YDL055C	False	True
YDL056W	True	False
YDL057W	False	True
YDL058W	True	True
YDL059C	False	True
YDL060W	True	True
YDL061C	True	True
YDL062W	False	True
YDL063C	True	True
YDL064W	True	True
YDL066W	True	False
YDL067C	True	True
YDL068W	True	True
YDL069C	True	True
YDL070W	True	False
YDL071C	True	True
YDL072C	True	True
YDL073W	True	True
YDL076C	True	True
YDL079C	True	True
YDL080C	True	True
YDL081C	True	False
YDL082W	True	False
YDL083C	True	False
YDL084W	True	True
YDL085C-A	True	False
YDL085W	True	True
YDL086C-A	True	False
YDL087C	True	True
YDL088C	True	True
YDL089W	True	True
YDL090C	True	True
YDL091C	False	True
YDL092W	True	False
YDL093W	True	False
YDL095W	True	True
YDL096C	True	True
YDL097C	True	True
YDL099W	True	True
YDL100C	True	True
YDL101C	True	True
YDL103C	True	False
YDL105W	True	True
YDL106C	True	False
YDL107W	True	False
YDL108W	True	True
YDL109C	False	True
YDL110C	True	False
YDL112W	False	True
YDL113C	True	True
YDL114W	True	True
YDL114W-A	True	True
YDL115C	True	False
YDL116W	True	False
YDL117W	False	True
YDL118W	True	True
YDL119C	True	True
YDL120W	True	True
YDL121C	True	True
YDL122W	False	True
YDL123W	True	True
YDL124W	True	False
YDL125C	True	True
YDL126C	True	False
YDL128W	True	True
YDL129W	True	True
YDL130W-A	True	True
YDL131W	True	True
YDL132W	True	True
YDL133C-A	True	True
YDL133W	True	False
YDL134C	True	False
YDL135C	True	True
YDL136W	True	True
YDL137W	True	True
YDL138W	False	True
YDL139C	True	False
YDL140C	True	False
YDL142C	True	True
YDL143W	True	True
YDL144C	True	True
YDL145C	False	True
YDL146W	False	True
YDL147W	True	True
YDL148C	True	True
YDL149W	False	True
YDL150W	True	False
YDL151C	True	True
YDL152W	True	True
YDL153C	True	True
YDL154W	True	True
YDL156W	True	True
YDL157C	True	True
YDL158C	True	True
YDL159C-B	True	True
YDL159W	True	False
YDL159W-A	True	True
YDL160C	True	False
