orf_name_a	gene_name_a	orf_name_b	gene_name_b	in_I3D-exp-24	in_Lit-BM-24	in_Y2H-union-08
YGR280C	PXR1	YIL035C	CKA1	False	True	False
YGR280C	PXR1	YLR197W	NOP56	False	True	False
YGR281W	YOR1	YHR135C	YCK1	False	True	False
YGR281W	YOR1	YMR192W	GYL1	False	True	False
YGR281W	YOR1	YNL098C	RAS2	False	True	False
YGR281W	YOR1	YNL154C	YCK2	False	True	False
YGR281W	YOR1	YPL199C		False	True	False
YGR284C	ERV29	YML067C	ERV41	False	True	False
YGR285C	ZUO1	YNL103W	MET4	False	True	False
YGR285C	ZUO1	YOR119C	RIO1	False	True	False
YGR292W	MAL12	YKL117W	SBA1	False	True	False
YHL002W	HSE1	YIL156W	UBP7	False	True	False
YHL002W	HSE1	YKL213C	DOA1	False	True	False
YHL002W	HSE1	YLR144C	ACF2	False	True	False
YHL002W	HSE1	YOR076C	SKI7	False	True	False
YHL003C	LAG1	YKL008C	LAC1	False	True	True
YHL003C	LAG1	YMR149W	SWP1	False	True	False
YHL004W	MRP4	YJR113C	RSM7	False	True	False
YHL006C	SHU1	YIL132C	CSM2	False	True	False
YHL007C	STE20	YHL007C	STE20	False	True	False
YHL007C	STE20	YHR042W	NCP1	False	True	False
YHL007C	STE20	YIL043C	CBR1	False	True	False
YHL007C	STE20	YKL129C	MYO3	False	True	False
YHL007C	STE20	YLR229C	CDC42	False	True	False
YHL007C	STE20	YMR109W	MYO5	False	True	False
YHL007C	STE20	YNL161W	CBK1	False	True	False
YHL007C	STE20	YOR299W	BUD7	False	True	False
YHL007C	STE20	YPR036W	VMA13	False	True	False
YHL011C	PRS3	YKL181W	PRS1	False	True	True
YHL015W	RPS20	YLR398C	SKI2	False	True	False
YHL015W	RPS20	YMR116C	ASC1	False	True	False
YHL015W	RPS20	YOR198C	BFR1	False	True	False
YHL015W	RPS20	YPR163C	TIF3	False	True	False
YHL020C	OPI1	YOL004W	SIN3	False	True	False
YHL020C	OPI1	YPL031C	PHO85	False	True	False
YHL023C	NPR3	YJR138W	IML1	False	True	False
YHL025W	SNF6	YHL025W	SNF6	False	True	False
YHL025W	SNF6	YMR033W	ARP9	False	True	False
YHL025W	SNF6	YPL129W	TAF14	False	True	False
YHL025W	SNF6	YPR034W	ARP7	False	True	False
YHL027W	RIM101	YHR016C	YSC84	False	True	False
YHL027W	RIM101	YMR032W	HOF1	False	True	False
YHL027W	RIM101	YOR275C	RIM20	False	True	False
YHL033C	RPL8A	YHR010W	RPL27A	False	True	False
YHL033C	RPL8A	YKL117W	SBA1	False	True	False
YHL033C	RPL8A	YKL172W	EBP2	False	True	False
YHL033C	RPL8A	YMR116C	ASC1	False	True	False
YHL034C	SBP1	YKL085W	MDH1	False	True	False
YHL048W	COS8	YOR254C	SEC63	False	True	False
YHR001W	OSH7	YKR003W	OSH6	False	True	False
YHR001W	OSH7	YPR173C	VPS4	False	True	False
YHR005C	GPA1	YJL080C	SCP160	False	True	False
YHR005C	GPA1	YJR086W	STE18	False	True	False
