orf_name	GenBank_accession	ORFeome_collection	screened_as_DB	screened_as_AD
YJL107C	AY557885	FLEXGene	False	True
YJL106W	EF059335	FLEXGene	True	True
YJL105W	EF059326	FLEXGene	False	True
YJL104W	AY692607	FLEXGene	True	True
YJL103C	AY723834	FLEXGene	True	True
YJL102W	EF059204	FLEXGene	True	True
YJL101C	DQ332006	FLEXGene	True	True
YJL100W		CCSB_additional	True	True
YJL099W	FLH112668.01X	FLEXGene	True	True
YJL098W	EF059491	FLEXGene	False	True
YJL097W	AY557855	FLEXGene	True	True
YJL096W	AY558305	FLEXGene	True	True
YJL095W		CCSB_additional	False	True
YJL094C	DQ332438	FLEXGene	True	True
YJL093C	DQ332293	FLEXGene	True	True
YJL092W	DQ332279	FLEXGene	False	True
YJL091C	EF059255	FLEXGene	True	True
YJL090C		CCSB_additional	False	True
YJL089W	EF059290	FLEXGene	True	True
YJL088W	EF059276	FLEXGene	False	True
YJL087C	EF059263	FLEXGene	True	True
YJL085W	AY723833	FLEXGene	True	True
YJL084C	DQ332071	FLEXGene	True	True
YJL083W		CCSB_additional	True	True
YJL082W	DQ331941	FLEXGene	True	True
YJL081C	EF059071	FLEXGene	False	True
YJL080C	DQ331827	FLEXGene	True	True
YJL079C	AY558306	FLEXGene	True	True
YJL078C	DQ331841	FLEXGene	True	True
YJL077W-B	EF058733	FLEXGene	True	True
YJL077W-A		CCSB_additional	True	True
YJL077C	AY692701	FLEXGene	True	True
YJL076W	DQ331818	FLEXGene	True	True
YJL074C	EF058914	FLEXGene	True	True
YJL073W		CCSB_additional	True	False
YJL072C	AY558248	FLEXGene	True	True
YJL071W		CCSB_additional	False	True
YJL070C	AY692645	FLEXGene	False	True
YJL069C	AY692560	FLEXGene	True	True
YJL068C	DQ332716	FLEXGene	True	True
YJL066C	DQ332968	FLEXGene	True	True
YJL065C	AY558557	FLEXGene	True	True
YJL063C	AY558249	FLEXGene	True	True
YJL062W-A	EF058499	FLEXGene	True	True
YJL062W		CCSB_additional	False	True
YJL061W	EF058951	FLEXGene	True	True
YJL060W	DQ332905	FLEXGene	True	True
YJL059W	AY693139	FLEXGene	True	True
YJL058C	AY693068	FLEXGene	False	True
YJL057C	EF058358	FLEXGene	True	True
YJL056C	DQ332194	FLEXGene	False	True
YJL055W	AY558247	FLEXGene	True	True
YJL054W		CCSB_additional	True	True
YJL053W	AY693007	FLEXGene	True	True
YJL052C-A	EF058498	FLEXGene	True	True
YJL052W	AY693001	FLEXGene	False	True
YJL051W	DQ331349	FLEXGene	True	True
YJL050W	DQ331890	FLEXGene	True	True
YJL049W	AY692694	FLEXGene	False	True
YJL048C	AY692689	FLEXGene	True	True
YJL047C-A	EF058749	FLEXGene	True	True
YJL047C	EF058978	FLEXGene	True	True
YJL046W	AY558080	FLEXGene	True	True
YJL045W	EF058524	FLEXGene	True	True
YJL044C	DQ331626	FLEXGene	True	True
YJL043W	AY692664	FLEXGene	False	True
YJL042W	DQ331471	FLEXGene	True	True
YJL041W		CCSB_additional	False	True
YJL039C	DQ331525	FLEXGene	False	True
YJL038C	AY558245	FLEXGene	True	True
YJL037W	AY558244	FLEXGene	True	True
YJL036W	AY693177	FLEXGene	True	True
YJL035C	AY693172	FLEXGene	False	True
YJL034W	EF059410	FLEXGene	True	True
YJL033W	AY693118	FLEXGene	False	True
YJL031C	EF059218	FLEXGene	False	True
YJL030W	AY558243	FLEXGene	True	True
YJL029C	FLH238245.01X	FLEXGene	True	True
YJL028W	DQ333181	FLEXGene	True	True
YJL027C	AY558246	FLEXGene	True	True
YJL026W	EF059129	FLEXGene	True	True
YJL025W	AY692999	FLEXGene	False	True
YJL024C		CCSB_additional	True	True
YJL023C	DQ331874	FLEXGene	True	True
YJL020C	DQ331751	FLEXGene	True	True
YJL019W		CCSB_additional	True	True
YJL016W	AY692698	FLEXGene	True	True
YJL014W		CCSB_additional	True	True
YJL013C	EF058877	FLEXGene	False	True
YJL012C	EF058869	FLEXGene	True	True
YJL011C	AY558346	FLEXGene	True	True
YJL010C	EF058444	FLEXGene	True	True
YJL008C	DQ331497	FLEXGene	True	True
YJL007C	AY558242	FLEXGene	True	True
YJL006C	EF058819	FLEXGene	True	True
YJL005W		CCSB_additional	False	False
YJL004C	AY558345	FLEXGene	True	True
YJL003W	AY558241	FLEXGene	True	True
YJL002C	EF059309	FLEXGene	True	True
YJL001W		CCSB_additional	False	True
YJR001W	DQ332322	FLEXGene	True	True
YJR002W	DQ332354	FLEXGene	True	True
YJR003C	DQ331116	FLEXGene	False	True
YJR004C	DQ332520	FLEXGene	True	True
YJR005W		CCSB_additional	True	True
YJR005C-A	DQ331420	FLEXGene	True	True
YJR006W	DQ331447	FLEXGene	True	True
YJR007W	AY557876	FLEXGene	True	True
YJR008W	DQ332761	FLEXGene	True	True
YJR009C		CCSB_additional	False	True
YJR010W	AY723835	FLEXGene	True	True
YJR010C-A	AY557861	FLEXGene	True	True
YJR011C	AY557905	FLEXGene	True	True
YJR013W	AY557910	FLEXGene	True	True
YJR012C	AY557900	FLEXGene	True	True
YJR014W	AY557898	FLEXGene	True	True
YJR015W	AY723836	FLEXGene	True	True
YJR016C	DQ332314	FLEXGene	False	True
YJR017C	DQ332451	FLEXGene	True	True
YJR019C	DQ332505	FLEXGene	False	True
YJR021C		CCSB_additional	False	True
YJR022W	EF059133	FLEXGene	False	True
YJR024C	AY692565	FLEXGene	True	True
YJR025C	AY558309	FLEXGene	True	True
YJR030C	DQ331056	FLEXGene	True	True
YJR031C		CCSB_additional	False	True
YJR032W	AY693103	FLEXGene	False	True
YJR033C		CCSB_additional	True	True
YJR034W	AY558310	FLEXGene	True	True
YJR035W		CCSB_additional	True	True
YJR036C	DQ332598	FLEXGene	True	True
YJR039W		CCSB_additional	True	True
YJR040W	EF059495	FLEXGene	True	True
YJR041C		CCSB_additional	True	True
YJR042W	EF058786	FLEXGene	False	True
YJR043C	AY557918	FLEXGene	True	True
YJR044C	AY557891	FLEXGene	True	True
YJR045C	DQ331615	FLEXGene	True	True
YJR046W	DQ331789	FLEXGene	True	True
YJR047C	AY557894	FLEXGene	True	True
YJR048W	EF058999	FLEXGene	True	True
YJR049C	AY692899	FLEXGene	True	True
YJR050W	AY558078	FLEXGene	True	True
YJR051W		CCSB_additional	True	True
YJR052W	DQ332950	FLEXGene	True	True
YJR053W		CCSB_additional	True	False
YJR054W	EF058598	FLEXGene	True	True
YJR055W	AY558097	FLEXGene	True	True
YJR056C	EF058638	FLEXGene	True	True
YJR057W	EF059126	FLEXGene	True	True
YJR058C	AY557893	FLEXGene	True	True
YJR059W	AY723837	FLEXGene	True	True
YJR060W	AY557919	FLEXGene	True	True
YJR061W		CCSB_additional	True	True
YJR062C	DQ332170	FLEXGene	True	True
YJR063W	AY558313	FLEXGene	True	True
YJR064W	DQ332379	FLEXGene	True	True
YJR065C	DQ332385	FLEXGene	True	True
YJR066W	DQ332566	FLEXGene	True	True
YJR067C	AY557892	FLEXGene	False	True
YJR068W	AY557920	FLEXGene	True	True
YJR069C	AY557897	FLEXGene	True	True
YJR070C	EF059408	FLEXGene	True	True
YJR072C	DQ331214	FLEXGene	True	True
YJR073C	AY557899	FLEXGene	True	True
YJR074W	DQ331474	FLEXGene	True	True
YJR075W	AY692827	FLEXGene	True	True
YJR076C	FLH004042.01X	FLEXGene	True	True
YJR077C	AY557913	FLEXGene	True	True
YJR078W	DQ331774	FLEXGene	True	True
YJR079W	EF058560	FLEXGene	True	True
YJR080C	EF058556	FLEXGene	True	True
YJR082C	AY557889	FLEXGene	False	True
YJR083C	AY557912	FLEXGene	True	True
YJR084W	DQ333004	FLEXGene	True	True
YJR085C	AY557887	FLEXGene	True	True
YJR086W	AY557888	FLEXGene	True	True
YJR088C	AY723838	FLEXGene	True	True
YJR089W	EF059246	FLEXGene	True	True
YJR090C	DQ331564	FLEXGene	False	True
YJR091C	EF058874	FLEXGene	True	True
YJR092W		CCSB_additional	False	True
YJR093C	DQ331732	FLEXGene	False	True
YJR094C		CCSB_additional	True	True
YJR094W-A		CCSB_additional	True	True
YJR095W	AY692924	FLEXGene	True	True
YJR096W	AY558257	FLEXGene	True	True
YJR097W	AY558542	FLEXGene	True	True
YJR098C		CCSB_additional	False	True
YJR099W	DQ332009	FLEXGene	False	True
YJR100C	EF058631	FLEXGene	True	True
YJR101W	AY557906	FLEXGene	True	True
YJR102C	DQ332102	FLEXGene	True	True
YJR103W		CCSB_additional	True	False
YJR104C	AY558073	FLEXGene	True	True
YJR105W	AY558082	FLEXGene	False	True
YJR106W	FLH238244.01X	FLEXGene	False	True
YJR107W	EF058424	FLEXGene	True	True
YJR108W	AY558255	FLEXGene	True	True
YJR109C	DQ332600	FLEXGene	True	True
YJR110W	DQ331145	FLEXGene	True	True
YJR111C	DQ332746	FLEXGene	True	True
YJR112W	AY558256	FLEXGene	True	True
YJR112W-A		CCSB_additional	False	True
YJR113C	AY557903	FLEXGene	True	True
YJR115W	EF058446	FLEXGene	True	True
YJR116W	EF058483	FLEXGene	True	True
YJR117W	DQ331597	FLEXGene	True	True
YJR118C	DQ331616	FLEXGene	True	True
YJR119C		CCSB_additional	True	True
YJR120W	AY692655	FLEXGene	True	True
YJR121W		CCSB_additional	True	False
YJR122W	EF058940	FLEXGene	True	True
YJR123W	AY692868	FLEXGene	True	True
YJR124C	AY557924	FLEXGene	True	True
YJR125C	AY558084	FLEXGene	True	True
YJR126C	DQ331858	FLEXGene	True	True
YJR128W		CCSB_additional	True	True
YJR127C	EF059045	FLEXGene	False	True
YJR129C	DQ331370	FLEXGene	True	True
YJR130C	AY692979	FLEXGene	False	True
YJR131W	DQ332998	FLEXGene	True	True
YJR132W	DQ332005	FLEXGene	True	True
YJR133W	DQ332143	FLEXGene	True	True
YJR134C		CCSB_additional	True	True
YJR135C	EF059217	FLEXGene	True	True
YJR135W-A	AY558258	FLEXGene	True	True
YJR136C	AY692606	FLEXGene	True	True
YJR137C		CCSB_additional	False	True
YJR138W		CCSB_additional	False	False
YJR139C	DQ332557	FLEXGene	True	True
YJR140C		CCSB_additional	False	True
YJR141W	DQ331154	FLEXGene	True	True
YJR142W	AY558091	FLEXGene	True	True
YJR143C		CCSB_additional	True	True
YJR144W	DQ332574	FLEXGene	True	True
YJR145C		CCSB_additional	False	True
YJR146W	AY558259	FLEXGene	True	True
YJR147W	DQ331475	FLEXGene	False	True
YJR148W	DQ331625	FLEXGene	True	True
YJR149W	FLH237831.01X	FLEXGene	True	True
YJR150C	DQ331624	FLEXGene	True	True
YJR151C		CCSB_additional	False	True
YJR151W-A		CCSB_additional	True	True
YJR152W	DQ331767	FLEXGene	True	True
YJR153W	AY558092	FLEXGene	True	True
YJR154W	AY557917	FLEXGene	True	True
YJR155W	AY557908	FLEXGene	False	True
YJR156C		CCSB_additional	True	True
YJR158W		CCSB_additional	True	True
YJR159W	AY693012	FLEXGene	True	True
YJR160C	EF059500	FLEXGene	True	True
YJR161C	EF058774	FLEXGene	False	True
YKL224C	EF058398	FLEXGene	False	True
YKL222C	DQ331132	FLEXGene	True	True
YKL221W	EF059356	FLEXGene	True	True
YKL220C	DQ332418	FLEXGene	True	True
YKL219W	DQ332457	FLEXGene	True	True
YKL218C	DQ331101	FLEXGene	True	True
YKL217W	EF059282	FLEXGene	True	True
YKL216W	DQ332248	FLEXGene	True	True
YKL215C		CCSB_additional	True	True
YKL214C	DQ333008	FLEXGene	True	True
YKL213C	DQ332060	FLEXGene	True	True
YKL212W	EF059154	FLEXGene	True	True
YKL211C	DQ331931	FLEXGene	True	True
YKL210W	DQ331923	FLEXGene	True	True
YKL209C	DQ332070	FLEXGene	True	True
YKL208W	AY558395	FLEXGene	True	True
YKL207W	EF058615	FLEXGene	True	True
YKL206C	AY558394	FLEXGene	True	True
YKL205W		CCSB_additional	True	True
YKL204W	DQ331821	FLEXGene	True	True
YKL203C		CCSB_additional	False	False
YKL201C	DQ331666	FLEXGene	True	True
YKL198C		CCSB_additional	True	False
YKL197C	DQ332055	FLEXGene	True	True
