ad_orf_name	db_orf_name	in_screen_1	in_screen_2	in_screen_3	manual_score_growth
YNL165W	YMR018W	0	0	1	2
YPL188W	YGR078C	1	1	1	3
YIR015W	YPL070W	0	0	1	3
YLR288C	YDR249C	0	1	1	3
YMR213W	YOL054W	1	0	1	2
YJL140W	YNL116W	0	0	1	2
YML130C	YJR080C	0	0	1	2
YML015C	YML098W	0	0	1	1
YHR193C	YCR059C	0	0	1	2
YHR121W	YGR178C	0	0	1	3
YLR288C	YPR018W	0	0	1	2
YLR240W	YLR240W	0	1	1	3
YPL188W	YLR132C	0	1	1	4
YNL086W	YJL036W	0	1	1	4
YMR232W	YMR055C	0	1	1	2
YNL086W	YPR083W	0	1	1	3
YKL122C	YDL092W	1	1	1	4
YDL083C	YLR449W	0	1	1	4
YLL004W	YBR060C	0	1	1	4
YGR195W	YDL111C	0	0	1	2
YMR291W	YGL115W	0	1	1	3
YNL086W	YHR090C	0	0	1	3
YPL031C	YIL050W	0	0	1	4
YLR275W	YOR159C	0	0	1	2
YDR175C	YDR280W	0	0	1	2
YOR061W	YLR407W	0	1	1	3
YPL166W	YPL077C	1	1	1	4
YDR175C	YGR215W	0	0	1	2
YOR061W	YIL035C	0	1	1	3
YOR061W	YOR039W	0	1	1	3
YDR130C	YER094C	0	0	1	1
YGR048W	YOR368W	0	0	1	3
YLR275W	YER146W	0	0	1	3
YLR038C	YLR291C	0	0	1	4
YPL018W	YNL075W	0	0	1	3
YDL175C	YLR291C	0	1	1	3
YDR130C	YOR368W	0	1	1	1
YPL166W	YLR423C	0	1	1	4
YNL100W	YIL065C	1	0	1	3
YPR048W	YKR071C	0	1	1	4
YOR158W	YGR082W	0	0	1	4
YMR153W	YNL219C	0	0	1	3
YNR010W	YOL139C	0	0	1	4
YPL010W	YNL287W	0	0	1	3
YLR313C	YDR201W	1	1	1	2
YMR068W	YLR288C	0	1	1	2
YMR153W	YML048W	0	0	1	3
YKR095W-A	YJL184W	0	1	1	4
YDR265W	YGR133W	0	0	1	2
YNL100W	YGR133W	0	1	1	2
YMR153W	YHR051W	0	0	1	4
YOL085C	YPL070W	0	1	1	4
YDL002C	YNL084C	0	0	1	2
YMR146C	YPL105C	0	0	1	2
YKL049C	YOL054W	0	1	1	3
YAL068C	YPL070W	0	0	1	4
YJR065C	YNR035C	0	1	1	3
YMR153W	YNL280C	0	1	1	3
YFL060C	YNL333W	0	0	1	3
YGR168C	YIL065C	0	0	1	3
YIR017C	YDR201W	0	0	1	4
YIR017C	YNL182C	0	0	1	3
YDR254W	YBR107C	0	1	1	4
YBR195C	YPR018W	1	1	1	4
YDR311W	YLR288C	0	0	1	4
YBR060C	YPR120C	1	0	1	2
YLR376C	YIL132C	0	1	1	4
YMR213W	YBR046C	0	1	1	2
YGR148C	YKR048C	0	0	1	4
YMR213W	YBR188C	0	1	1	4
YML046W	YHR022C	1	1	1	4
YLR288C	YDL139C	0	0	1	1
YPL188W	YLR347C	0	0	1	3
YPL059W	YLR347C	0	0	1	2
YLR052W	YMR055C	0	1	1	2
YJL031C	YJL036W	0	0	1	4
YML130C	YBL098W	1	0	1	3
YOR237W	YGL158W	0	0	1	2
YMR213W	YPL151C	0	1	1	2
YJL174W	YDR373W	1	1	1	2
YLR288C	YPR067W	0	1	1	3
YJL036W	YML064C	0	0	1	2
YOR026W	YFR004W	0	0	1	3
YOL111C	YLR368W	0	1	1	2
YPL002C	YPL065W	1	1	1	2
YOR018W	YNL189W	0	0	1	2
YGR286C	YNL189W	0	0	1	2
YKL058W	YOR194C	0	0	1	4
YJL036W	YNL189W	0	1	1	2
YGR003W	YOL133W	1	0	1	4
YKL138C-A	YDR320C-A	0	0	1	4
YNL055C	YML064C	0	1	1	3
YOL094C	YNL290W	0	0	1	4
YPR159W	YLR088W	0	0	1	1
YPR159W	YHR076W	1	1	1	1
YNR039C	YML125C	0	0	1	1
YLR145W	YGR068C	0	0	1	1
YLL049W	YDR320C-A	0	1	1	3
YJL122W	YDR101C	0	1	1	4
YNR039C	YPL191C	0	1	1	1
YNR039C	YOR067C	0	1	1	3
YHR033W	YPL018W	0	0	1	2
YNR039C	YPL096C-A	1	1	1	3
YPR159W	YHR192W	0	0	1	1
YPR159W	YNL268W	0	0	1	1
YHL010C	YHL010C	0	0	1	2
YLR356W	YLR346C	1	0	1	3
YDL161W	YOR181W	0	0	1	2
YAR003W	YDR140W	0	1	1	3
YGL113W	YOL054W	0	1	1	3
YDL175C	YPR120C	1	1	1	4
YHL029C	YCR095C	1	0	1	4
YPL018W	YJL179W	1	1	1	4
YNL334C	YNL333W	0	1	1	4
YJR152W	YML132W	0	1	1	4
YNR023W	YIL044C	1	1	1	4
YDL022W	YDR142C	1	1	1	4
YGR222W	YHL003C	0	0	1	3
YPL002C	YJR102C	1	0	1	3
YER092W	YLR423C	0	0	1	3
YLR154C	YDR279W	0	0	1	4
YKL058W	YLR291C	0	0	1	3
YNL055C	YLR291C	1	0	1	3
YPL055C	YLR291C	0	0	1	3
YJL048C	YML031W	1	1	1	4
YKL138C-A	YKR037C	0	1	1	4
YPR128C	YPL112C	0	1	1	4
YPL122C	YDR079C-A	0	1	1	3
YDR022C	YLR423C	0	1	1	3
YJL036W	YLR423C	1	0	1	4
YER092W	YDL002C	0	0	1	3
