orf_name_a	gene_name_a	orf_name_b	gene_name_b	n_evidence	category
YCL057C-A	MIC10	YKR016W	MIC60	8	Lit-NB
YBR119W	MUD1	YPL106C	SSE1	0	Lit-NB
YFL014W	HSP12	YNL312W	RFA2	0	Lit-NB
YDR394W	RPT3	YNL290W	RFC3	0	Lit-NB
YJL128C	PBS2	YLR044C	PDC1	0	Lit-NB
YFL008W	SMC1	YLR196W	PWP1	0	Lit-NB
YIL061C	SNP1	YML046W	PRP39	1	Lit-NB
YER021W	RPN3	YMR287C	DSS1	1	Lit-NB
YHL015W	RPS20	YML065W	ORC1	1	Lit-NB
YBR262C	MIC12	YCL057C-A	MIC10	4	Lit-NB
YBL072C	RPS8A	YOR056C	NOB1	0	Lit-NB
YDR225W	HTA1	YNL308C	KRI1	0	Lit-NB
YLR386W	VAC14	YMR214W	SCJ1	0	Lit-NB
YIL035C	CKA1	YKL117W	SBA1	1	Lit-NB
YGR281W	YOR1	YHR135C	YCK1	1	Lit-NB
YER179W	DMC1	YFL016C	MDJ1	0	Lit-NB
YJL080C	SCP160	YNL255C	GIS2	1	Lit-NB
YDL229W	SSB1	YOR051C	ETT1	0	Lit-NB
YJL179W	PFD1	YLR189C	ATG26	0	Lit-NB
YDR381W	YRA1	YHR039C	MSC7	0	Lit-NB
YJL008C	CCT8	YJR053W	BFA1	0	Lit-NB
YBR118W	TEF2	YLR153C	ACS2	0	Lit-NB
YAL005C	SSA1	YPR060C	ARO7	0	Lit-NB
YBL075C	SSA3	YJL176C	SWI3	0	Lit-NB
YBL026W	LSM2	YLR369W	SSQ1	0	Lit-NB
YBR059C	AKL1	YMR304W	UBP15	1	Lit-NB
YBL084C	CDC27	YMR001C	CDC5	1	Lit-NB
YGL190C	CDC55	YKL081W	TEF4	0	Lit-NB
YAL029C	MYO4	YBR009C	HHF1	1	Lit-NB
YNL257C	SIP3	YPL240C	HSP82	0	Lit-NB
YML064C	TEM1	YMR106C	YKU80	0	Lit-NB
YJL222W	VTH2	YLL026W	HSP104	0	Lit-NB
YAL005C	SSA1	YMR201C	RAD14	0	Lit-NB
YDR258C	HSP78	YFL034W	MIL1	0	Lit-NB
YOR326W	MYO2	YPL240C	HSP82	0	Lit-NB
YCR028C-A	RIM1	YCR033W	SNT1	0	Lit-NB
YBR198C	TAF5	YOR061W	CKA2	1	Lit-NB
YJR045C	SSC1	YOL126C	MDH2	0	Lit-NB
YBR191W	RPL21A	YGL014W	PUF4	0	Lit-NB
YBR282W	MRPL27	YPL173W	MRPL40	2	Lit-NB
YGR229C	SMI1	YKL047W	ANR2	0	Lit-NB
YBR198C	TAF5	YCR009C	RVS161	1	Lit-NB
YMR315W		YNL135C	FPR1	0	Lit-NB
YAL005C	SSA1	YMR071C	TVP18	0	Lit-NB
YDR320C	SWA2	YKL210W	UBA1	0	Lit-NB
YBR059C	AKL1	YJL084C	ALY2	1	Lit-NB
YBR229C	ROT2	YML067C	ERV41	1	Lit-NB
YEL030W	ECM10	YJL020C	BBC1	0	Lit-NB
YOR117W	RPT5	YPR108W	RPN7	1	Lit-NB
YDL229W	SSB1	YPL129W	TAF14	0	Lit-NB
YNL064C	YDJ1	YPL208W	RKM1	0	Lit-NB
YDL111C	RRP42	YNL189W	SRP1	0	Lit-NB
YGR200C	ELP2	YKL049C	CSE4	1	Lit-NB
YOR166C	SWT1	YPL106C	SSE1	0	Lit-NB
YER021W	RPN3	YNL227C	JJJ1	0	Lit-NB
YGR034W	RPL26B	YGR040W	KSS1	1	Lit-NB
YBL016W	FUS3	YOR276W	CAF20	1	Lit-NB
YJR050W	ISY1	YNL209W	SSB2	0	Lit-NB
YBR253W	SRB6	YDR308C	SRB7	0	Lit-NB
YBL058W	SHP1	YOR342C		0	Lit-NB
YDR176W	NGG1	YHR099W	TRA1	4	Lit-NB
YHR170W	NMD3	YML064C	TEM1	0	Lit-NB
YBL002W	HTB2	YIR004W	DJP1	0	Lit-NB
YDL144C		YPL106C	SSE1	0	Lit-NB
YDR482C	CWC21	YGR285C	ZUO1	0	Lit-NB
YAL067C	SEO1	YNL162W	RPL42A	0	Lit-NB
YOL123W	HRP1	YOL123W	HRP1	1	Lit-NB
YFR041C	ERJ5	YGR192C	TDH3	0	Lit-NB
YBR247C	ENP1	YNL096C	RPS7B	0	Lit-NB
YFL002C	SPB4	YLR312W-A	MRPL15	1	Lit-NB
YLR048W	RPS0B	YLR432W	IMD3	0	Lit-NB
YDR502C	SAM2	YLL024C	SSA2	0	Lit-NB
YAL005C	SSA1	YBR123C	TFC1	0	Lit-NB
YHR064C	SSZ1	YOL021C	DIS3	0	Lit-NB
YDR322W	MRPL35	YJL041W	NSP1	0	Lit-NB
YDR224C	HTB1	YPL047W	SGF11	1	Lit-NB
YAL005C	SSA1	YPL095C	EEB1	0	Lit-NB
YBR010W	HHT1	YDR251W	PAM1	1	Lit-NB
YAL005C	SSA1	YOL028C	YAP7	0	Lit-NB
YGL131C	SNT2	YLL024C	SSA2	0	Lit-NB
YDR227W	SIR4	YNL206C	RTT106	2	Lit-NB
YKR081C	RPF2	YLR009W	RLP24	2	Lit-NB
YDR022C	ATG31	YDR258C	HSP78	0	Lit-NB
YFR031C-A	RPL2A	YGR252W	GCN5	1	Lit-NB
YBR154C	RPB5	YML065W	ORC1	1	Lit-NB
YDR258C	HSP78	YLR422W	DCK1	0	Lit-NB
YCR077C	PAT1	YGR091W	PRP31	0	Lit-NB
YKL203C	TOR2	YNL138W	SRV2	1	Lit-NB
YDL229W	SSB1	YOR209C	NPT1	0	Lit-NB
YGL179C	TOS3	YGR167W	CLC1	1	Lit-NB
YER006W	NUG1	YMR229C	RRP5	1	Lit-NB
YLR196W	PWP1	YLR449W	FPR4	0	Lit-NB
YJL084C	ALY2	YPL265W	DIP5	1	Lit-NB
YKL196C	YKT6	YOL018C	TLG2	2	Lit-NB
YAR019C	CDC15	YDL220C	CDC13	0	Lit-NB
YBR030W	RKM3	YDL229W	SSB1	0	Lit-NB
YBL067C	UBP13	YLL024C	SSA2	1	Lit-NB
YCR093W	CDC39	YGL048C	RPT6	1	Lit-NB
YDR381W	YRA1	YER174C	GRX4	0	Lit-NB
YJL179W	PFD1	YPR074C	TKL1	0	Lit-NB
YIL108W		YMR149W	SWP1	0	Lit-NB
YLL050C	COF1	YLR039C	RIC1	0	Lit-NB
YBL058W	SHP1	YML064C	TEM1	0	Lit-NB
YKL203C	TOR2	YPR124W	CTR1	1	Lit-NB
YDL229W	SSB1	YLL063C	AYT1	0	Lit-NB
YGR159C	NSR1	YMR229C	RRP5	1	Lit-NB
YDL126C	CDC48	YDR057W	YOS9	1	Lit-NB
YHR064C	SSZ1	YKL155C	RSM22	0	Lit-NB
YKR048C	NAP1	YOR244W	ESA1	1	Lit-NB
YHR183W	GND1	YOR117W	RPT5	1	Lit-NB
YGR270W	YTA7	YIL126W	STH1	2	Lit-NB
YDL229W	SSB1	YNR022C	MRPL50	0	Lit-NB
YIL035C	CKA1	YLL008W	DRS1	1	Lit-NB
YDR258C	HSP78	YHR132W-A	IGO2	0	Lit-NB
YDR306C		YJR045C	SSC1	0	Lit-NB
YDL229W	SSB1	YDR363W-A	SEM1	0	Lit-NB
YAL005C	SSA1	YDR425W	SNX41	0	Lit-NB
YAL024C	LTE1	YLR044C	PDC1	1	Lit-NB
YCL018W	LEU2	YLR403W	SFP1	0	Lit-NB
YHR064C	SSZ1	YKL062W	MSN4	0	Lit-NB
YGL216W	KIP3	YNL209W	SSB2	0	Lit-NB
YDR365C	ESF1	YJL179W	PFD1	0	Lit-NB
YDL124W		YFR004W	RPN11	1	Lit-NB
YBR227C	MCX1	YMR205C	PFK2	0	Lit-NB
YDL126C	CDC48	YGR078C	PAC10	0	Lit-NB
YDL143W	CCT4	YKL145W	RPT1	1	Lit-NB
YHR104W	GRE3	YPL106C	SSE1	0	Lit-NB
YKR010C	TOF2	YNL064C	YDJ1	0	Lit-NB
YLL024C	SSA2	YPR095C	SYT1	1	Lit-NB
YNL002C	RLP7	YPR016C	TIF6	1	Lit-NB
YBL105C	PKC1	YGR078C	PAC10	0	Lit-NB
YLR228C	ECM22	YMR070W	MOT3	1	Lit-NB
YCR012W	PGK1	YNR051C	BRE5	1	Lit-NB
YLR166C	SEC10	YPL106C	SSE1	1	Lit-NB
YBR160W	CDC28	YDR227W	SIR4	1	Lit-NB
YAL005C	SSA1	YPL126W	NAN1	0	Lit-NB
YAL021C	CCR4	YNL209W	SSB2	0	Lit-NB
YAL005C	SSA1	YIL005W	EPS1	0	Lit-NB
YER133W	GLC7	YPL204W	HRR25	0	Lit-NB
YDL229W	SSB1	YGL148W	ARO2	0	Lit-NB
YBR140C	IRA1	YNL098C	RAS2	0	Lit-NB
YDR128W	MTC5	YJL088W	ARG3	0	Lit-NB
YCL044C	MGR1	YLL024C	SSA2	0	Lit-NB
YDL229W	SSB1	YPL234C	VMA11	0	Lit-NB
YGL210W	YPT32	YNL161W	CBK1	1	Lit-NB
YIR010W	DSN1	YJL190C	RPS22A	1	Lit-NB
YGL173C	XRN1	YGR162W	TIF4631	0	Lit-NB
YBR087W	RFC5	YNL290W	RFC3	0	Lit-NB
YBR118W	TEF2	YGR012W	MCY1	1	Lit-NB
YLL045C	RPL8B	YOR063W	RPL3	0	Lit-NB
YDR054C	CDC34	YDR439W	LRS4	1	Lit-NB
YLR399C	BDF1	YPL235W	RVB2	1	Lit-NB
YDL216C	RRI1	YDL216C	RRI1	0	Lit-NB
YBL079W	NUP170	YER107C	GLE2	1	Lit-NB
YHR200W	RPN10	YPL106C	SSE1	1	Lit-NB
YKR094C	RPL40B	YOR124C	UBP2	1	Lit-NB
YHR188C	GPI16	YMR066W	SOV1	0	Lit-NB
YDR190C	RVB1	YMR186W	HSC82	1	Lit-NB
YAL005C	SSA1	YLR393W	ATP10	1	Lit-NB
YDL027C	MRX9	YNL064C	YDJ1	0	Lit-NB
YKL060C	FBA1	YLR340W	RPP0	1	Lit-NB
YBR087W	RFC5	YLR150W	STM1	0	Lit-NB
YIL144W	NDC80	YLR200W	YKE2	0	Lit-NB
YBR169C	SSE2	YIL162W	SUC2	0	Lit-NB
YDL182W	LYS20	YNL132W	KRE33	0	Lit-NB
YJR045C	SSC1	YNL088W	TOP2	0	Lit-NB
YLR093C	NYV1	YLR093C	NYV1	1	Lit-NB
YER013W	PRP22	YMR016C	SOK2	0	Lit-NB
YAL025C	MAK16	YGR103W	NOP7	1	Lit-NB
YER151C	UBP3	YNR016C	ACC1	1	Lit-NB
YHR064C	SSZ1	YLR262C	YPT6	0	Lit-NB
YDR471W	RPL27B	YGL014W	PUF4	0	Lit-NB
YGL168W	HUR1	YJL164C	TPK1	1	Lit-NB
YDR127W	ARO1	YOR254C	SEC63	0	Lit-NB
YBR009C	HHF1	YDR432W	NPL3	1	Lit-NB
YGL200C	EMP24	YJR132W	NMD5	0	Lit-NB
YJR040W	GEF1	YPL240C	HSP82	1	Lit-NB
YGR262C	BUD32	YIL075C	RPN2	0	Lit-NB
YDL064W	UBC9	YHR047C	AAP1	1	Lit-NB
YDL229W	SSB1	YDR060W	MAK21	0	Lit-NB
YBR142W	MAK5	YDR060W	MAK21	1	Lit-NB
YDR228C	PCF11	YLR277C	YSH1	2	Lit-NB
YHR064C	SSZ1	YPL083C	SEN54	0	Lit-NB
YNL052W	COX5A	YPL106C	SSE1	0	Lit-NB
YCR065W	HCM1	YCR105W	ADH7	0	Lit-NB
YER012W	PRE1	YKL206C	ADD66	1	Lit-NB
YNL231C	PDR16	YPL106C	SSE1	0	Lit-NB
YDL020C	RPN4	YLL024C	SSA2	0	Lit-NB
YER092W	IES5	YGL180W	ATG1	1	Lit-NB
YEL023C		YKL216W	URA1	0	Lit-NB
YDR466W	PKH3	YJL089W	SIP4	1	Lit-NB
YBR039W	ATP3	YDL229W	SSB1	0	Lit-NB
YBR072W	HSP26	YER133W	GLC7	0	Lit-NB
YBR154C	RPB5	YPL106C	SSE1	0	Lit-NB
YHR064C	SSZ1	YPR117W		0	Lit-NB
YLR216C	CPR6	YNL209W	SSB2	0	Lit-NB
YGL120C	PRP43	YMR229C	RRP5	2	Lit-NB
YGR252W	GCN5	YKL016C	ATP7	1	Lit-NB
YFR004W	RPN11	YHR039C	MSC7	2	Lit-NB
YDL060W	TSR1	YML063W	RPS1B	0	Lit-NB
YLL024C	SSA2	YNL298W	CLA4	0	Lit-NB
YKR003W	OSH6	YPR152C	URN1	1	Lit-NB
YBR188C	NTC20	YJR050W	ISY1	2	Lit-NB
YMR047C	NUP116	YMR290C	HAS1	1	Lit-NB
YDL082W	RPL13A	YNL096C	RPS7B	0	Lit-NB
YDR412W	RRP17	YER002W	NOP16	1	Lit-NB
YDR448W	ADA2	YML015C	TAF11	0	Lit-NB
YDR280W	RRP45	YLL026W	HSP104	0	Lit-NB
YDR388W	RVS167	YLR355C	ILV5	0	Lit-NB
YDR381W	YRA1	YNL061W	NOP2	1	Lit-NB
YEL030W	ECM10	YER157W	COG3	0	Lit-NB
YNL154C	YCK2	YNL267W	PIK1	1	Lit-NB
YDL075W	RPL31A	YGL030W	RPL30	0	Lit-NB
YJL168C	SET2	YJL179W	PFD1	0	Lit-NB
YDR386W	MUS81	YNL064C	YDJ1	0	Lit-NB
YOR371C	GPB1	YPL106C	SSE1	0	Lit-NB
YHR024C	MAS2	YHR120W	MSH1	0	Lit-NB
YAL005C	SSA1	YJR156C	THI11	0	Lit-NB
YGL106W	MLC1	YLR203C	MSS51	0	Lit-NB
YLR180W	SAM1	YPR152C	URN1	1	Lit-NB
YAR007C	RFA1	YBR020W	GAL1	0	Lit-NB
YDR385W	EFT2	YKL081W	TEF4	0	Lit-NB
YHR174W	ENO2	YKL060C	FBA1	0	Lit-NB
YKR048C	NAP1	YOR276W	CAF20	0	Lit-NB
YBR111W-A	SUS1	YPL254W	HFI1	2	Lit-NB
YDL126C	CDC48	YLL006W	MMM1	1	Lit-NB
YDL229W	SSB1	YIL104C	SHQ1	0	Lit-NB
YDL182W	LYS20	YNL186W	UBP10	1	Lit-NB
YGR116W	SPT6	YML058W	SML1	0	Lit-NB
YNL064C	YDJ1	YOR093C	CMR2	0	Lit-NB
YHR064C	SSZ1	YLR115W	CFT2	0	Lit-NB
YBL067C	UBP13	YKL168C	KKQ8	1	Lit-NB
YBL099W	ATP1	YPR020W	ATP20	1	Lit-NB
YAL005C	SSA1	YDR233C	RTN1	1	Lit-NB
YGR225W	AMA1	YLL024C	SSA2	0	Lit-NB
YDL229W	SSB1	YGL229C	SAP4	0	Lit-NB
YER082C	UTP7	YGL173C	XRN1	0	Lit-NB
YER148W	SPT15	YHR036W	BRL1	0	Lit-NB
YDL155W	CLB3	YDR146C	SWI5	1	Lit-NB
YLR320W	MMS22	YNR001C	CIT1	0	Lit-NB
YBL111C		YIL069C	RPS24B	0	Lit-NB
YAL005C	SSA1	YLR262C	YPT6	0	Lit-NB
YNL209W	SSB2	YPL270W	MDL2	0	Lit-NB
YDL212W	SHR3	YGL076C	RPL7A	1	Lit-NB
YGL173C	XRN1	YLR263W	RED1	0	Lit-NB
YLL034C	RIX7	YPL093W	NOG1	0	Lit-NB
YJR045C	SSC1	YLR238W	FAR10	0	Lit-NB
YDR155C	CPR1	YFR004W	RPN11	2	Lit-NB
YGL031C	RPL24A	YOL127W	RPL25	0	Lit-NB
YDR171W	HSP42	YPL009C	RQC2	0	Lit-NB
YDR510W	SMT3	YGL103W	RPL28	1	Lit-NB
YGR040W	KSS1	YIL038C	NOT3	1	Lit-NB
YBR253W	SRB6	YDR167W	TAF10	1	Lit-NB
YPL106C	SSE1	YPR112C	MRD1	0	Lit-NB
YDL229W	SSB1	YLL008W	DRS1	0	Lit-NB
YCL018W	LEU2	YKL130C	SHE2	0	Lit-NB
YER122C	GLO3	YLR178C	TFS1	1	Lit-NB
YKL160W	ELF1	YOR254C	SEC63	0	Lit-NB
YMR205C	PFK2	YPR111W	DBF20	0	Lit-NB
YAL041W	CDC24	YLR357W	RSC2	0	Lit-NB
YML069W	POB3	YOL145C	CTR9	2	Lit-NB
YDL229W	SSB1	YGL003C	CDH1	0	Lit-NB
YEL030W	ECM10	YNL103W	MET4	0	Lit-NB
YDR158W	HOM2	YNL209W	SSB2	0	Lit-NB
YFR004W	RPN11	YOR312C	RPL20B	2	Lit-NB
YER081W	SER3	YIL074C	SER33	1	Lit-NB
YIR010W	DSN1	YNL330C	RPD3	1	Lit-NB
YDL148C	NOP14	YMR229C	RRP5	1	Lit-NB
YJL164C	TPK1	YKL038W	RGT1	1	Lit-NB
YLL024C	SSA2	YPL074W	YTA6	0	Lit-NB
YCL014W	BUD3	YHR064C	SSZ1	0	Lit-NB
YBR169C	SSE2	YLL026W	HSP104	0	Lit-NB
YBL006C	LDB7	YML127W	RSC9	1	Lit-NB
YDR064W	RPS13	YGR162W	TIF4631	0	Lit-NB
YGR223C	HSV2	YPL028W	ERG10	0	Lit-NB
YJR076C	CDC11	YNL307C	MCK1	1	Lit-NB
YGR078C	PAC10	YJL020C	BBC1	0	Lit-NB
YFR034C	PHO4	YJL148W	RPA34	1	Lit-NB
YDL017W	CDC7	YJR121W	ATP2	0	Lit-NB
YHR170W	NMD3	YLR387C	REH1	1	Lit-NB
YBR020W	GAL1	YBR082C	UBC4	0	Lit-NB
YDR188W	CCT6	YKR002W	PAP1	0	Lit-NB
YAL059W	ECM1	YPL093W	NOG1	1	Lit-NB
YDR258C	HSP78	YKR071C	DRE2	0	Lit-NB
YEL026W	SNU13	YLR398C	SKI2	0	Lit-NB
YKL166C	TPK3	YOR068C	VAM10	1	Lit-NB
YBR074W	PFF1	YDR171W	HSP42	0	Lit-NB
YGL151W	NUT1	YOL135C	MED7	1	Lit-NB
YDR060W	MAK21	YHR089C	GAR1	1	Lit-NB
YIL104C	SHQ1	YOL100W	PKH2	1	Lit-NB
YAL016W	TPD3	YOR014W	RTS1	2	Lit-NB
YDL226C	GCS1	YJL036W	SNX4	1	Lit-NB
YHR197W	RIX1	YNL113W	RPC19	0	Lit-NB
YBR087W	RFC5	YCL016C	DCC1	0	Lit-NB
YBR079C	RPG1	YEL030W	ECM10	0	Lit-NB
YDR147W	EKI1	YHR087W	RTC3	0	Lit-NB
YBL075C	SSA3	YNL049C	SFB2	0	Lit-NB
YGR161C	RTS3	YKR028W	SAP190	1	Lit-NB
YDR258C	HSP78	YGL227W	VID30	0	Lit-NB
YFR015C	GSY1	YPL031C	PHO85	1	Lit-NB
YIL076W	SEC28	YNL088W	TOP2	0	Lit-NB
YBL075C	SSA3	YDR356W	SPC110	0	Lit-NB
YLR418C	CDC73	YOR224C	RPB8	1	Lit-NB
YDL082W	RPL13A	YIL016W	SNL1	1	Lit-NB
YOL027C	MDM38	YOL027C	MDM38	0	Lit-NB
YER151C	UBP3	YOR361C	PRT1	1	Lit-NB
YER155C	BEM2	YKL203C	TOR2	1	Lit-NB
YLR369W	SSQ1	YPR041W	TIF5	0	Lit-NB
YML112W	CTK3	YPL106C	SSE1	0	Lit-NB
YAL005C	SSA1	YOR279C	RFM1	0	Lit-NB
YBR198C	TAF5	YGL039W		1	Lit-NB
YAL005C	SSA1	YMR227C	TAF7	0	Lit-NB
YDR219C	MFB1	YPL106C	SSE1	0	Lit-NB
YDR388W	RVS167	YNL255C	GIS2	1	Lit-NB
YHR200W	RPN10	YJR009C	TDH2	2	Lit-NB
YNL064C	YDJ1	YOR244W	ESA1	0	Lit-NB
YMR120C	ADE17	YNL153C	GIM3	0	Lit-NB
YBL072C	RPS8A	YLR197W	NOP56	0	Lit-NB
YBR108W	AIM3	YHL007C	STE20	1	Lit-NB
YCL037C	SRO9	YDL175C	AIR2	0	Lit-NB
YBR010W	HHT1	YOR326W	MYO2	1	Lit-NB
YBR198C	TAF5	YMR227C	TAF7	4	Lit-NB
YAL005C	SSA1	YBR118W	TEF2	0	Lit-NB
YDL055C	PSA1	YNL113W	RPC19	0	Lit-NB
YBR018C	GAL7	YER123W	YCK3	1	Lit-NB
YBL075C	SSA3	YGR179C	OKP1	0	Lit-NB
YDR258C	HSP78	YKL112W	ABF1	0	Lit-NB
YEL030W	ECM10	YOR142W	LSC1	0	Lit-NB
YER025W	GCD11	YMR309C	NIP1	1	Lit-NB
YER179W	DMC1	YKL104C	GFA1	0	Lit-NB
YDR192C	NUP42	YMR235C	RNA1	1	Lit-NB
YIL035C	CKA1	YJL080C	SCP160	0	Lit-NB
YAL005C	SSA1	YCL040W	GLK1	0	Lit-NB
YBR057C	MUM2	YKL098W	MTC2	0	Lit-NB
YBR028C	YPK3	YBR031W	RPL4A	1	Lit-NB
YDR238C	SEC26	YOR363C	PIP2	0	Lit-NB
YHR200W	RPN10	YLR340W	RPP0	2	Lit-NB
YML049C	RSE1	YPL213W	LEA1	4	Lit-NB
YLR203C	MSS51	YLR429W	CRN1	0	Lit-NB
YGR082W	TOM20	YIL136W	OM45	1	Lit-NB
YHR064C	SSZ1	YKR076W	ECM4	0	Lit-NB
YBR118W	TEF2	YKR081C	RPF2	1	Lit-NB
YFL037W	TUB2	YPR010C	RPA135	0	Lit-NB
YER151C	UBP3	YKL172W	EBP2	1	Lit-NB
YJR045C	SSC1	YPL022W	RAD1	0	Lit-NB
YDL166C	FAP7	YPL266W	DIM1	1	Lit-NB
YNL064C	YDJ1	YOR250C	CLP1	0	Lit-NB
YAL005C	SSA1	YKL035W	UGP1	0	Lit-NB
YMR139W	RIM11	YPL141C	FRK1	1	Lit-NB
YLR048W	RPS0B	YNL255C	GIS2	1	Lit-NB
YGR040W	KSS1	YJR105W	ADO1	1	Lit-NB
YKL212W	SAC1	YLR369W	SSQ1	0	Lit-NB
YGR123C	PPT1	YMR186W	HSC82	1	Lit-NB
YNL064C	YDJ1	YNL317W	PFS2	0	Lit-NB
YER043C	SAH1	YHR200W	RPN10	1	Lit-NB
YGR252W	GCN5	YIL149C	MLP2	2	Lit-NB
YDL229W	SSB1	YPR003C		0	Lit-NB
YGR040W	KSS1	YLR310C	CDC25	2	Lit-NB
YIR010W	DSN1	YOR039W	CKB2	1	Lit-NB
YJL008C	CCT8	YPL116W	HOS3	0	Lit-NB
YDR482C	CWC21	YLR117C	CLF1	0	Lit-NB
YGL127C	SOH1	YHR041C	SRB2	0	Lit-NB
YLR386W	VAC14	YMR186W	HSC82	0	Lit-NB
YKL073W	LHS1	YMR125W	STO1	0	Lit-NB
YDL156W	CMR1	YJR045C	SSC1	1	Lit-NB
YHR027C	RPN1	YMR217W	GUA1	1	Lit-NB
YMR089C	YTA12	YNL064C	YDJ1	0	Lit-NB
YDR470C	UGO1	YKR016W	MIC60	1	Lit-NB
YBR072W	HSP26	YMR117C	SPC24	0	Lit-NB
YLR283W		YNL209W	SSB2	0	Lit-NB
YFL037W	TUB2	YGL213C	SKI8	0	Lit-NB
YBR019C	GAL10	YGR083C	GCD2	0	Lit-NB
YKL166C	TPK3	YOL052C	SPE2	1	Lit-NB
YDL188C	PPH22	YDR171W	HSP42	0	Lit-NB
YHR064C	SSZ1	YPR033C	HTS1	0	Lit-NB
YML110C	COQ5	YNL064C	YDJ1	0	Lit-NB
YFL002C	SPB4	YOR150W	MRPL23	1	Lit-NB
YLL024C	SSA2	YNL125C	ESBP6	1	Lit-NB
YBR010W	HHT1	YGL021W	ALK1	1	Lit-NB
YPR139C	LOA1	YPR183W	DPM1	1	Lit-NB
YGL245W	GUS1	YJR094W-A	RPL43B	0	Lit-NB
YJL110C	GZF3	YLL024C	SSA2	0	Lit-NB
YLR131C	ACE2	YNL307C	MCK1	1	Lit-NB
YER148W	SPT15	YPL049C	DIG1	1	Lit-NB
YBR198C	TAF5	YLR335W	NUP2	1	Lit-NB
YER133W	GLC7	YER167W	BCK2	1	Lit-NB
YLR249W	YEF3	YNL201C	PSY2	0	Lit-NB
YJL002C	OST1	YML130C	ERO1	0	Lit-NB
YBR109C	CMD1	YDL229W	SSB1	0	Lit-NB
YMR236W	TAF9	YNR016C	ACC1	1	Lit-NB
YKL126W	YPK1	YPR111W	DBF20	1	Lit-NB
YDR418W	RPL12B	YOR293W	RPS10A	0	Lit-NB
YMR194W	RPL36A	YOR096W	RPS7A	0	Lit-NB
YDR258C	HSP78	YOR335C	ALA1	0	Lit-NB
YBL004W	UTP20	YHR196W	UTP9	1	Lit-NB
YGR156W	PTI1	YLL024C	SSA2	0	Lit-NB
YDL229W	SSB1	YMR238W	DFG5	1	Lit-NB
YNL007C	SIS1	YOR034C	AKR2	0	Lit-NB
YJL130C	URA2	YNL227C	JJJ1	0	Lit-NB
YCR057C	PWP2	YJL191W	RPS14B	0	Lit-NB
YBR169C	SSE2	YPL173W	MRPL40	0	Lit-NB
YMR223W	UBP8	YPL240C	HSP82	1	Lit-NB
YAL061W	BDH2	YPL106C	SSE1	0	Lit-NB
YFL002C	SPB4	YLR029C	RPL15A	1	Lit-NB
YHR090C	YNG2	YNL107W	YAF9	4	Lit-NB
YDL192W	ARF1	YOR117W	RPT5	1	Lit-NB
YGR034W	RPL26B	YNL096C	RPS7B	0	Lit-NB
YBR196C	PGI1	YNR051C	BRE5	1	Lit-NB
YHR164C	DNA2	YLR442C	SIR3	1	Lit-NB
YLL024C	SSA2	YLR442C	SIR3	0	Lit-NB
YJR059W	PTK2	YMR081C	ISF1	1	Lit-NB
YDR159W	SAC3	YLR277C	YSH1	1	Lit-NB
YLR131C	ACE2	YPL031C	PHO85	1	Lit-NB
YBL038W	MRPL16	YLR312W-A	MRPL15	0	Lit-NB
YDR227W	SIR4	YFL007W	BLM10	0	Lit-NB
YDR262W		YPL240C	HSP82	0	Lit-NB
YBL087C	RPL23A	YFR034C	PHO4	1	Lit-NB
YDL059C	RAD59	YDL229W	SSB1	0	Lit-NB
YGL128C	CWC23	YOR332W	VMA4	0	Lit-NB
YDR226W	ADK1	YPL026C	SKS1	1	Lit-NB
YDL229W	SSB1	YGR188C	BUB1	0	Lit-NB
YNR046W	TRM112	YOL039W	RPP2A	1	Lit-NB
YGL073W	HSF1	YLL019C	KNS1	1	Lit-NB
YNL064C	YDJ1	YOR061W	CKA2	0	Lit-NB
YDR496C	PUF6	YOL077C	BRX1	0	Lit-NB
YLL024C	SSA2	YOR367W	SCP1	0	Lit-NB
YGL120C	PRP43	YLR116W	MSL5	1	Lit-NB
YER030W	CHZ1	YPL240C	HSP82	0	Lit-NB
YEL030W	ECM10	YNL026W	SAM50	0	Lit-NB
YCR015C	CTO1	YDL229W	SSB1	0	Lit-NB
YLR418C	CDC73	YOR039W	CKB2	0	Lit-NB
YJL088W	ARG3	YOR231W	MKK1	0	Lit-NB
YHR086W	NAM8	YJL168C	SET2	1	Lit-NB
YBR211C	AME1	YPL233W	NSL1	4	Lit-NB
YLR147C	SMD3	YMR288W	HSH155	0	Lit-NB
YBR161W	CSH1	YLL026W	HSP104	0	Lit-NB
YBR251W	MRPS5	YOL027C	MDM38	1	Lit-NB
YJL179W	PFD1	YKL078W	DHR2	0	Lit-NB
YER122C	GLO3	YML012W	ERV25	1	Lit-NB
YAL005C	SSA1	YMR198W	CIK1	0	Lit-NB
YGL004C	RPN14	YHR027C	RPN1	2	Lit-NB
YLL011W	SOF1	YLR129W	DIP2	0	Lit-NB
YLL048C	YBT1	YNL238W	KEX2	0	Lit-NB
YHR120W	MSH1	YNL077W	APJ1	0	Lit-NB
YFR031C-A	RPL2A	YOR063W	RPL3	0	Lit-NB
YHR064C	SSZ1	YNL182C	IPI3	0	Lit-NB
YDR409W	SIZ1	YIL132C	CSM2	1	Lit-NB
YFR004W	RPN11	YMR300C	ADE4	1	Lit-NB
YBL023C	MCM2	YML065W	ORC1	1	Lit-NB
YBL004W	UTP20	YNL110C	NOP15	1	Lit-NB
YDR258C	HSP78	YJR010C-A	SPC1	0	Lit-NB
