orf_name_a	gene_name_a	orf_name_b	gene_name_b	n_evidence	category
YDL014W	NOP1	YLR197W	NOP56	5	Lit-BM
YKL042W	SPC42	YNL225C	CNM67	5	Lit-BM
YDR265W	PEX10	YOL044W	PEX15	2	Lit-BM
YDR372C	VPS74	YKL212W	SAC1	4	Lit-BM
YIR018W	YAP5	YIR018W	YAP5	2	Lit-BM
YJL069C	UTP18	YLR409C	UTP21	3	Lit-BM
YLR440C	SEC39	YNL258C	DSL1	6	Lit-BM
YIR010W	DSN1	YLR381W	CTF3	3	Lit-BM
YHR102W	KIC1	YOR257W	CDC31	3	Lit-BM
YAL032C	PRP45	YDR416W	SYF1	1	Lit-BS
YNL271C	BNI1	YNL271C	BNI1	6	Lit-BM
YCR093W	CDC39	YER068W	MOT2	9	Lit-BM
YDR510W	SMT3	YPL028W	ERG10	2	Lit-BM
YFR003C	YPI1	YML016C	PPZ1	4	Lit-BM
YGR005C	TFG2	YGR186W	TFG1	11	Lit-BM
YCL008C	STP22	YPL084W	BRO1	2	Lit-BM
YHR012W	VPS29	YJL154C	VPS35	8	Lit-BM
YKL197C	PEX1	YNL329C	PEX6	8	Lit-BM
YDR085C	AFR1	YER133W	GLC7	3	Lit-BM
YCR088W	ABP1	YFR024C-A	LSB3	3	Lit-BM
YJR084W		YJR084W		2	Lit-BM
YJL012C	VTC4	YPR154W	PIN3	2	Lit-BM
YGL120C	PRP43	YJL076W	NET1	2	Lit-BM
YGL198W	YIP4	YGL210W	YPT32	2	Lit-BM
YGL120C	PRP43	YLR424W	SPP382	10	Lit-BM
YLR181C	VTA1	YPR173C	VPS4	20	Lit-BM
YDR170C	SEC7	YNL267W	PIK1	3	Lit-BM
YBR010W	HHT1	YBR010W	HHT1	4	Lit-NB
YDR320C	SWA2	YGL206C	CHC1	3	Lit-BM
YFL009W	CDC4	YKL159C	RCN1	2	Lit-BM
YMR154C	RIM13	YOR110W	TFC7	1	Lit-BS
YBR254C	TRS20	YDR246W	TRS23	2	Lit-BM
YDR510W	SMT3	YHR134W	WSS1	3	Lit-BM
YJL011C	RPC17	YNL151C	RPC31	1	Lit-BS
YBL056W	PTC3	YDR071C	PAA1	2	Lit-NB
YIL062C	ARC15	YMR109W	MYO5	1	Lit-NB
YIL139C	REV7	YLR288C	MEC3	3	Lit-BM
YPL004C	LSP1	YPL221W	FLC1	1	Lit-BS
YDR162C	NBP2	YOL113W	SKM1	2	Lit-BM
YER087C-B	SBH1	YOR085W	OST3	4	Lit-BM
YDL212W	SHR3	YMR149W	SWP1	1	Lit-BS
YER136W	GDI1	YOR089C	VPS21	4	Lit-BM
YLR293C	GSP1	YPL125W	KAP120	4	Lit-BM
YJL092W	SRS2	YMR224C	MRE11	2	Lit-BM
YLR113W	HOG1	YMR172W	HOT1	5	Lit-BM
YER151C	UBP3	YML109W	ZDS2	1	Lit-BS
YNL309W	STB1	YOL004W	SIN3	2	Lit-BM
YIL159W	BNR1	YLR191W	PEX13	2	Lit-BM
YDR510W	SMT3	YPR110C	RPC40	4	Lit-BM
YCR084C	TUP1	YCR084C	TUP1	8	Lit-BM
YBL016W	FUS3	YPL049C	DIG1	8	Lit-BM
YBL008W	HIR1	YJL115W	ASF1	6	Lit-BM
YCL061C	MRC1	YOR080W	DIA2	5	Lit-BM
YOL069W	NUF2	YPL018W	CTF19	2	Lit-BM
YIL021W	RPB3	YOR151C	RPB2	14	Lit-BM
YDL239C	ADY3	YOR177C	MPC54	2	Lit-BM
YHR129C	ARP1	YLL049W	LDB18	3	Lit-BM
YHR039C	MSC7	YML012W	ERV25	1	Lit-BS
YBR045C	GIP1	YER133W	GLC7	6	Lit-BM
YNL329C	PEX6	YOL044W	PEX15	4	Lit-BM
YER008C	SEC3	YPR165W	RHO1	5	Lit-BM
YGL084C	GUP1	YHR039C	MSC7	1	Lit-BS
YDR388W	RVS167	YNL094W	APP1	6	Lit-BM
YGR047C	TFC4	YNL039W	BDP1	4	Lit-BM
YCL029C	BIK1	YPL269W	KAR9	3	Lit-BM
YKL068W	NUP100	YMR047C	NUP116	6	Lit-BM
YCL029C	BIK1	YKR054C	DYN1	2	Lit-BM
YPL008W	CHL1	YPL240C	HSP82	1	Lit-BS
YGL061C	DUO1	YKL117W	SBA1	2	Lit-BM
YDR077W	SED1	YDR143C	SAN1	2	Lit-BM
YJL148W	RPA34	YOR310C	NOP58	2	Lit-BM
YKL190W	CNB1	YLR433C	CNA1	4	Lit-BM
YBL005W	PDR3	YDR176W	NGG1	2	Lit-BM
YER099C	PRS2	YKL181W	PRS1	1	Lit-BS
YBR173C	UMP1	YGL011C	SCL1	2	Lit-BM
YGL120C	PRP43	YGL120C	PRP43	0	Lit-NB
YDR416W	SYF1	YMR213W	CEF1	6	Lit-BM
YDL239C	ADY3	YOR373W	NUD1	2	Lit-BM
YLR129W	DIP2	YLR409C	UTP21	2	Lit-BM
YHR144C	DCD1	YJL090C	DPB11	2	Lit-BM
YKL135C	APL2	YPR029C	APL4	2	Lit-NB
YDR510W	SMT3	YJR104C	SOD1	6	Lit-BM
YER143W	DDI1	YOR327C	SNC2	3	Lit-BM
YHR060W	VMA22	YOR270C	VPH1	2	Lit-BM
YDL207W	GLE1	YGL092W	NUP145	2	Lit-BM
YHL007C	STE20	YHL007C	STE20	3	Lit-BM
YGL090W	LIF1	YOR005C	DNL4	13	Lit-BM
YKL089W	MIF2	YKL089W	MIF2	2	Lit-BM
YPL042C	SSN3	YPL248C	GAL4	9	Lit-BM
YBR108W	AIM3	YDR388W	RVS167	6	Lit-BM
YCL008C	STP22	YFR024C-A	LSB3	3	Lit-BM
YJL053W	PEP8	YOR069W	VPS5	4	Lit-NB
YGL180W	ATG1	YPR049C	ATG11	7	Lit-BM
YER112W	LSM4	YER112W	LSM4	1	Lit-NB
YDR395W	SXM1	YOR098C	NUP1	2	Lit-BM
YLR106C	MDN1	YOR272W	YTM1	2	Lit-BM
YNL304W	YPT11	YOR326W	MYO2	4	Lit-BM
YAL033W	POP5	YBL018C	POP8	2	Lit-BM
YDL092W	SRP14	YPL210C	SRP72	0	Lit-NB
YGR163W	GTR2	YKR007W	MEH1	5	Lit-BM
YLR229C	CDC42	YPL242C	IQG1	4	Lit-BM
YDL043C	PRP11	YNL286W	CUS2	2	Lit-BM
YDL192W	ARF1	YDL226C	GCS1	5	Lit-BM
YKL013C	ARC19	YNR035C	ARC35	1	Lit-NB
YDL081C	RPP1A	YDR382W	RPP2B	8	Lit-BM
YIR017C	MET28	YJR060W	CBF1	2	Lit-BM
YER112W	LSM4	YLR275W	SMD2	1	Lit-BS
YNL272C	SEC2	YNL272C	SEC2	4	Lit-BM
YBL026W	LSM2	YJL124C	LSM1	9	Lit-BM
YHL025W	SNF6	YPR034W	ARP7	6	Lit-BM
YBR173C	UMP1	YMR037C	MSN2	2	Lit-BM
YLR071C	RGR1	YPR168W	NUT2	5	Lit-BM
YNL103W	MET4	YPL038W	MET31	4	Lit-BM
YDR510W	SMT3	YFL045C	SEC53	2	Lit-BM
YGR274C	TAF1	YPR072W	NOT5	2	Lit-BM
YDR378C	LSM6	YER112W	LSM4	3	Lit-BM
YML121W	GTR1	YPL180W	TCO89	2	Lit-BM
YDL064W	UBC9	YOR156C	NFI1	2	Lit-BM
YBL105C	PKC1	YNL088W	TOP2	2	Lit-BM
YAL043C	PTA1	YGR156W	PTI1	5	Lit-BM
YDL188C	PPH22	YPR040W	TIP41	2	Lit-BM
YAL041W	CDC24	YHL007C	STE20	2	Lit-BM
YGL030W	RPL30	YPR152C	URN1	2	Lit-BM
YDL203C	ACK1	YER125W	RSP5	4	Lit-BM
YGR140W	CBF2	YPL268W	PLC1	2	Lit-BM
YDR533C	HSP31	YDR533C	HSP31	2	Lit-BM
YKL095W	YJU2	YLR117C	CLF1	2	Lit-BM
YBL085W	BOI1	YBR200W	BEM1	6	Lit-BM
YKL119C	VPH2	YOR270C	VPH1	2	Lit-BM
YER105C	NUP157	YMR153W	NUP53	3	Lit-BM
YFR024C-A	LSB3	YIR003W	AIM21	2	Lit-BM
YDL111C	RRP42	YGR158C	MTR3	3	Lit-BM
YHR072W	ERG7	YHR072W	ERG7	1	Lit-BS
YDL130W	RPP1B	YDR418W	RPL12B	2	Lit-BM
YDL192W	ARF1	YIL076W	SEC28	2	Lit-BM
YBR132C	AGP2	YHR016C	YSC84	2	Lit-BM
YGR040W	KSS1	YPL115C	BEM3	1	Lit-BS
YOR140W	SFL1	YPL203W	TPK2	3	Lit-BM
YDR427W	RPN9	YHR200W	RPN10	4	Lit-BM
YHR199C-A	NBL1	YJR089W	BIR1	3	Lit-BM
YGR140W	CBF2	YMR094W	CTF13	6	Lit-BM
YJR076C	CDC11	YPL018W	CTF19	2	Lit-BM
YHR030C	SLT2	YPL089C	RLM1	6	Lit-BM
YGR172C	YIP1	YHR105W	YPT35	2	Lit-BM
YDL232W	OST4	YOR085W	OST3	7	Lit-BM
YPL240C	HSP82	YPR148C		1	Lit-BS
YDR510W	SMT3	YNL216W	RAP1	5	Lit-BM
YGL233W	SEC15	YOR326W	MYO2	4	Lit-BM
YER044C	ERG28	YGL012W	ERG4	2	Lit-BM
YGL075C	MPS2	YJR112W	NNF1	2	Lit-BM
YLL036C	PRP19	YLL036C	PRP19	11	Lit-BM
YER125W	RSP5	YMR275C	BUL1	10	Lit-BM
YEL051W	VMA8	YJR033C	RAV1	1	Lit-NB
YFL009W	CDC4	YFL009W	CDC4	3	Lit-BM
YKL172W	EBP2	YLR196W	PWP1	0	Lit-NB
YER161C	SPT2	YHR166C	CDC23	3	Lit-BM
YDR176W	NGG1	YGL013C	PDR1	2	Lit-BM
YLR268W	SEC22	YPR181C	SEC23	2	Lit-BM
YIL108W		YPR154W	PIN3	3	Lit-BM
YFL007W	BLM10	YGL011C	SCL1	1	Lit-BS
YFL038C	YPT1	YGL198W	YIP4	3	Lit-BM
YDL127W	PCL2	YPL031C	PHO85	6	Lit-BM
YLR258W	GSY2	YOR178C	GAC1	2	Lit-BM
YIL072W	HOP1	YOR351C	MEK1	2	Lit-BM
YGL092W	NUP145	YLR208W	SEC13	11	Lit-BM
YDL145C	COP1	YIL076W	SEC28	10	Lit-BM
YHR170W	NMD3	YMR080C	NAM7	3	Lit-BM
YBR102C	EXO84	YDR166C	SEC5	4	Lit-BM
YGL180W	ATG1	YGL180W	ATG1	6	Lit-BM
YBR267W	REI1	YKR048C	NAP1	1	Lit-NB
YDL227C	HO	YMR308C	PSE1	2	Lit-BM
YLR263W	RED1	YOR351C	MEK1	4	Lit-BM
YDR510W	SMT3	YKL152C	GPM1	4	Lit-BM
YIR003W	AIM21	YMR109W	MYO5	2	Lit-BM
YPL248C	GAL4	YPL248C	GAL4	6	Lit-BM
YBR216C	YBP1	YML007W	YAP1	7	Lit-BM
YNL088W	TOP2	YNL088W	TOP2	10	Lit-BM
YLR045C	STU2	YML124C	TUB3	2	Lit-BM
YJR125C	ENT3	YPR029C	APL4	2	Lit-BM
YKL145W	RPT1	YOR259C	RPT4	3	Lit-BM
YDR427W	RPN9	YFR004W	RPN11	10	Lit-BM
YBR130C	SHE3	YIL138C	TPM2	1	Lit-BS
YAL030W	SNC1	YJL036W	SNX4	3	Lit-BM
YLR423C	ATG17	YPR185W	ATG13	5	Lit-BM
YLR197W	NOP56	YOR310C	NOP58	8	Lit-BM
YPR173C	VPS4	YPR173C	VPS4	10	Lit-BM
YCL037C	SRO9	YIR001C	SGN1	0	Lit-NB
YAL030W	SNC1	YPL232W	SSO1	8	Lit-BM
YEL034W	HYP2	YJR070C	LIA1	3	Lit-BM
YJL090C	DPB11	YPL194W	DDC1	3	Lit-BM
YDR244W	PEX5	YGL153W	PEX14	16	Lit-BM
YDR510W	SMT3	YML023C	NSE5	2	Lit-BM
YHR105W	YPT35	YNL263C	YIF1	2	Lit-BM
YDR510W	SMT3	YLR180W	SAM1	2	Lit-BM
YBR160W	CDC28	YLR182W	SWI6	5	Lit-BM
YER125W	RSP5	YHL002W	HSE1	3	Lit-BM
YJL112W	MDV1	YKR036C	CAF4	3	Lit-BM
YGL210W	YPT32	YOR070C	GYP1	2	Lit-BM
YAL047C	SPC72	YAL047C	SPC72	6	Lit-BM
YER110C	KAP123	YGR119C	NUP57	4	Lit-BM
YER029C	SMB1	YER112W	LSM4	2	Lit-BM
YGL223C	COG1	YML071C	COG8	3	Lit-BM
YDR142C	PEX7	YDR244W	PEX5	7	Lit-BM
YCR066W	RAD18	YJL092W	SRS2	2	Lit-BM
YCL024W	KCC4	YJR076C	CDC11	4	Lit-BM
YBR087W	RFC5	YOR217W	RFC1	1	Lit-BS
YKL101W	HSL1	YKR048C	NAP1	3	Lit-BM
YFL039C	ACT1	YNL271C	BNI1	3	Lit-BM
YFL024C	EPL1	YFL039C	ACT1	4	Lit-BM
YBR260C	RGD1	YKR055W	RHO4	2	Lit-BM
YBR166C	TYR1	YBR217W	ATG12	1	Lit-BS
YPL037C	EGD1	YPR072W	NOT5	2	Lit-BM
YIL072W	HOP1	YIL072W	HOP1	3	Lit-BM
YIL031W	ULP2	YML074C	FPR3	2	Lit-BM
YCL032W	STE50	YHR061C	GIC1	2	Lit-BM
YDR388W	RVS167	YGL060W	YBP2	2	Lit-BM
YER172C	BRR2	YKR086W	PRP16	3	Lit-BM
YDR130C	FIN1	YIL002W-A		2	Lit-BM
YGR060W	ERG25	YJL117W	PHO86	1	Lit-BS
YDL146W	LDB17	YHR114W	BZZ1	5	Lit-BM
YGL044C	RNA15	YMR061W	RNA14	21	Lit-BM
YOR084W	LPX1	YOR084W	LPX1	4	Lit-BM
YDR123C	INO2	YHL020C	OPI1	4	Lit-BM
YEL037C	RAD23	YGL048C	RPT6	8	Lit-BM
YKR014C	YPT52	YNL093W	YPT53	1	Lit-BS
YLR370C	ARC18	YOR181W	LAS17	1	Lit-NB
YLR378C	SEC61	YOR254C	SEC63	5	Lit-BM
YJR135W-A	TIM8	YNR017W	TIM23	4	Lit-BM
YBR083W	TEC1	YER125W	RSP5	3	Lit-BM
YHR135C	YCK1	YOR344C	TYE7	2	Lit-BM
YMR037C	MSN2	YOL051W	GAL11	2	Lit-BM
YDL108W	KIN28	YOR151C	RPB2	2	Lit-BM
YML081C-A	ATP18	YPR020W	ATP20	2	Lit-BM
YOL091W	SPO21	YOL091W	SPO21	2	Lit-BM
YHR113W	APE4	YOL082W	ATG19	2	Lit-BM
YER148W	SPT15	YKL058W	TOA2	15	Lit-BM
YFL026W	STE2	YPL187W	MF(ALPHA)1	3	Lit-BM
YCR012W	PGK1	YDR510W	SMT3	6	Lit-BM
YMR104C	YPK2	YOL078W	AVO1	3	Lit-BM
YHR165C	PRP8	YIL061C	SNP1	3	Lit-BM
YOL018C	TLG2	YPL240C	HSP82	1	Lit-BS
YCR009C	RVS161	YPL249C	GYP5	5	Lit-BM
YBR108W	AIM3	YHR114W	BZZ1	2	Lit-BM
YGR186W	TFG1	YPL129W	TAF14	11	Lit-BM
YGL206C	CHC1	YGR167W	CLC1	8	Lit-BM
YDL130W	RPP1B	YOL039W	RPP2A	4	Lit-BM
YDR378C	LSM6	YMR268C	PRP24	3	Lit-BM
YAL034W-A	MTW1	YGR179C	OKP1	2	Lit-BM
YCR077C	PAT1	YDR378C	LSM6	4	Lit-BM
YCR030C	SYP1	YFR024C-A	LSB3	1	Lit-BS
YHR007C	ERG11	YKL008C	LAC1	1	Lit-BS
YGL047W	ALG13	YGL047W	ALG13	5	Lit-BM
YDR477W	SNF1	YER040W	GLN3	3	Lit-BM
YBL103C	RTG3	YBR112C	CYC8	2	Lit-BM
YDR510W	SMT3	YKR092C	SRP40	2	Lit-BM
YDR246W	TRS23	YDR472W	TRS31	4	Lit-BM
YDL160C-A	MHF2	YOL086W-A	MHF1	6	Lit-BM
YJL115W	ASF1	YPL153C	RAD53	13	Lit-BM
YAL005C	SSA1	YER059W	PCL6	1	Lit-BS
YIL118W	RHO3	YJL085W	EXO70	10	Lit-BM
YEL013W	VAC8	YKR007W	MEH1	1	Lit-NB
YDR277C	MTH1	YKL038W	RGT1	4	Lit-BM
YBR135W	CKS1	YDR510W	SMT3	2	Lit-BM
YER031C	YPT31	YNL263C	YIF1	3	Lit-BM
YDR295C	HDA2	YLR131C	ACE2	2	Lit-BM
YHR016C	YSC84	YHR016C	YSC84	1	Lit-BS
YBL014C	RRN6	YER148W	SPT15	3	Lit-BM
