orf_name_X	orf_name_Y	gene_name_X	gene_name_Y	orientation	source_dataset	S07	r02 v1	r02 v4	seq_r02_v1	seq_r02_v4	seq_S07
YKR068C	YML077W	BET3	BET5	DB-Y AD-X	scPRSv2	0	NAN	0			
YDR246W	YKR068C	TRS23	BET3	DB-X AD-Y	scPRSv2	0	NAN	0			
YDR246W	YKR068C	TRS23	BET3	DB-Y AD-X	scPRSv2	0	0	0			
YDR097C	YOL090W	MSH6	MSH2	DB-X AD-Y	scPRSv2	0	NAN	0			
YDR097C	YOL090W	MSH6	MSH2	DB-Y AD-X	scPRSv2	AA	NAN	0			
YGL061C	YGR113W	DUO1	DAM1	DB-X AD-Y	scPRSv2	0	1	NAN	confirmed		
YGL061C	YGR113W	DUO1	DAM1	DB-Y AD-X	scPRSv2	0	1	0	confirmed		
YMR117C	YER018C	SPC24	SPC25	DB-X AD-Y	scPRSv2	AA	AA	AA	confirmed	failed	
YMR117C	YER018C	SPC24	SPC25	DB-Y AD-X	scPRSv2	AA	AA	AA	confirmed	failed	
YER018C	YIL144W	SPC25	NDC80	DB-X AD-Y	scPRSv2	AA	AA	AA	confirmed	failed	
YER018C	YIL144W	SPC25	NDC80	DB-Y AD-X	scPRSv2	0	0	0			
YIL144W	YMR117C	NDC80	SPC24	DB-X AD-Y	scPRSv2	0	AA	0	failed		
YIL144W	YMR117C	NDC80	SPC24	DB-Y AD-X	scPRSv2	AA	AA	AA		failed	
YGR246C	YER148W	BRF1	SPT15	DB-X AD-Y	scPRSv2	0	NAN	0			
YGR246C	YER148W	BRF1	SPT15	DB-Y AD-X	scPRSv2	AA	AA	AA	confirmed	confirmed	
YOR151C	YOR210W	RPB2	RPB10	DB-X AD-Y	scPRSv2	0	AA	0	failed		confirmed
YOR151C	YOR210W	RPB2	RPB10	DB-Y AD-X	scPRSv2	0	0	0			
YPL049C	YHR084W	DIG1	STE12	DB-X AD-Y	scPRSv2	0	NAN	0			
YPL049C	YHR084W	DIG1	STE12	DB-Y AD-X	scPRSv2	AA	AA	AA	failed		
YMR117C	YOL069W	SPC24	NUF2	DB-X AD-Y	scPRSv2	AA	AA	AA	failed		
YMR117C	YOL069W	SPC24	NUF2	DB-Y AD-X	scPRSv2	0	AA	0			
YDR468C	YOL018C	TLG1	TLG2	DB-X AD-Y	scPRSv2	NAN	0	NAN			
YDR468C	YOL018C	TLG1	TLG2	DB-Y AD-X	scPRSv2	AA	0	0			
YML051W	YDR009W	GAL80	GAL3	DB-X AD-Y	scPRSv2	0	AA	0	failed		
YML051W	YDR009W	GAL80	GAL3	DB-Y AD-X	scPRSv2	0	0	0			
YLR229C	YHR061C	CDC42	GIC1	DB-X AD-Y	scPRSv2	0	NAN	0			
YLR229C	YHR061C	CDC42	GIC1	DB-Y AD-X	scPRSv2	AA	0	AA			
YPL031C	YOL001W	PHO85	PHO80	DB-X AD-Y	scPRSv2	NAN	AA	0	confirmed		
YPL031C	YOL001W	PHO85	PHO80	DB-Y AD-X	scPRSv2		AA	NAN	failed		
YJR076C	YHR107C	CDC11	CDC12	DB-X AD-Y	scPRSv2	0	0	0			
YJR076C	YHR107C	CDC11	CDC12	DB-Y AD-X	scPRSv2	0	0	0		confirmed	
YMR224C	YDR369C	MRE11	XRS2	DB-X AD-Y	scPRSv2		0	NAN	failed		
YMR224C	YDR369C	MRE11	XRS2	DB-Y AD-X	scPRSv2	0	1	0	confirmed		
YER148W	YOR194C	SPT15	TOA1	DB-X AD-Y	scPRSv2	AA	AA	AA	confirmed	confirmed	
YER148W	YOR194C	SPT15	TOA1	DB-Y AD-X	scPRSv2	0	AA	0	confirmed		
YER148W	YKL058W	SPT15	TOA2	DB-X AD-Y	scPRSv2	AA	AA	AA	confirmed	confirmed	
YER148W	YKL058W	SPT15	TOA2	DB-Y AD-X	scPRSv2	0	0	0			
YDR103W	YGR040W	STE5	KSS1	DB-X AD-Y	scPRSv2	AA	AA	AA	failed	failed	
YDR103W	YGR040W	STE5	KSS1	DB-Y AD-X	scPRSv2	0	0	0			
YBR160W	YLR079W	CDC28	SIC1	DB-X AD-Y	scPRSv2	AA	0	AA		confirmed	
YBR160W	YLR079W	CDC28	SIC1	DB-Y AD-X	scPRSv2	0	0	0			
YGR040W	YHR084W	KSS1	STE12	DB-X AD-Y	scPRSv2	0	NAN	0			
YGR040W	YHR084W	KSS1	STE12	DB-Y AD-X	scPRSv2	AA	AA	AA	failed	confirmed	
YOL139C	YGR162W	CDC33	TIF4631	DB-X AD-Y	scPRSv2	0	NAN	0			
YOL139C	YGR162W	CDC33	TIF4631	DB-Y AD-X	scPRSv2	0	AA	0	failed		
YOR310C	YDL014W	NOP58	NOP1	DB-X AD-Y	scPRSv2	0	AA	0	failed		
YOR310C	YDL014W	NOP58	NOP1	DB-Y AD-X	scPRSv2	0	0	NAN			
YCR088W	YDR388W	ABP1	RVS167	DB-X AD-Y	scPRSv2	0	0	0			
YCR088W	YDR388W	ABP1	RVS167	DB-Y AD-X	scPRSv2	0	0	0			
YNL138W	YCR088W	SRV2	ABP1	DB-X AD-Y	scPRSv2	0	0	0			
YNL138W	YCR088W	SRV2	ABP1	DB-Y AD-X	scPRSv2	0	0	0			
YHL007C	YBR200W	STE20	BEM1	DB-X AD-Y	scPRSv2	0	0	0			
YHL007C	YBR200W	STE20	BEM1	DB-Y AD-X	scPRSv2	0	0	0			
YKL022C	YHR166C	CDC16	CDC23	DB-X AD-Y	scPRSv2	0	0	0			
YKL022C	YHR166C	CDC16	CDC23	DB-Y AD-X	scPRSv2	0	AA	0			
YJL194W	YFL009W	CDC6	CDC4	DB-X AD-Y	scPRSv2	0	0	0			
YJL194W	YFL009W	CDC6	CDC4	DB-Y AD-X	scPRSv2	0	AA	0			
YPL049C	YBL016W	DIG1	FUS3	DB-X AD-Y	scPRSv2	0	0	0			
YPL049C	YBL016W	DIG1	FUS3	DB-Y AD-X	scPRSv2	0	0	0			
YDR309C	YLR229C	GIC2	CDC42	DB-X AD-Y	scPRSv2	AA	0	0			
YDR309C	YLR229C	GIC2	CDC42	DB-Y AD-X	scPRSv2	0	0	0			
YMR255W	YDL207W	GFD1	GLE1	DB-X AD-Y	scPRSv2	0	0	0			
YMR255W	YDL207W	GFD1	GLE1	DB-Y AD-X	scPRSv2	0	0	0			
YLR293C	YER110C	GSP1	KAP123	DB-X AD-Y	scPRSv2	0	0	0			
YLR293C	YER110C	GSP1	KAP123	DB-Y AD-X	scPRSv2	0	0	0	failed		
YFR002W	YGR119C	NIC96	NUP57	DB-X AD-Y	scPRSv2	0	0	0	failed		
YFR002W	YGR119C	NIC96	NUP57	DB-Y AD-X	scPRSv2	0	0	0			
YJL002C	YOR085W	OST1	OST3	DB-X AD-Y	scPRSv2	0	0	0			
YJL002C	YOR085W	OST1	OST3	DB-Y AD-X	scPRSv2	0	0	0			
YMR149W	YJL002C	SWP1	OST1	DB-X AD-Y	scPRSv2	0	0	0			
YMR149W	YJL002C	SWP1	OST1	DB-Y AD-X	scPRSv2	0	0	0			
YGR162W	YER165W	TIF4631	PAB1	DB-X AD-Y	scPRSv2	0	0	0			
YGR162W	YER165W	TIF4631	PAB1	DB-Y AD-X	scPRSv2	0	0	0			
YEL037C	YGL048C	RAD23	RPT6	DB-X AD-Y	scPRSv2	0	0	0			
YEL037C	YGL048C	RAD23	RPT6	DB-Y AD-X	scPRSv2	0	0	0			
YMR309C	YBR079C	NIP1	RPG1	DB-X AD-Y	scPRSv2	0	0	0			
YMR309C	YBR079C	NIP1	RPG1	DB-Y AD-X	scPRSv2	0	0	0			
YKL145W	YHR027C	RPT1	RPN1	DB-X AD-Y	scPRSv2	0	0	0			
YKL145W	YHR027C	RPT1	RPN1	DB-Y AD-X	scPRSv2	0	0	0			
YFR037C	YCR052W	RSC8	RSC6	DB-X AD-Y	scPRSv2	0	0	0			
YFR037C	YCR052W	RSC8	RSC6	DB-Y AD-X	scPRSv2	0	0	0			
YDR388W	YPL249C	RVS167	GYP5	DB-X AD-Y	scPRSv2	0	0	0			
YDR388W	YPL249C	RVS167	GYP5	DB-Y AD-X	scPRSv2	0	0	0			
YPL232W	YGR009C	SSO1	SEC9	DB-X AD-Y	scPRSv2	0	0	0			
YPL232W	YGR009C	SSO1	SEC9	DB-Y AD-X	scPRSv2	0	0	0			
YPL209C	YBR156C	IPL1	SLI15	DB-X AD-Y	scPRSv2	0	AA	0			
YPL209C	YBR156C	IPL1	SLI15	DB-Y AD-X	scPRSv2	0	0	0			
YGR082W	YNL131W	TOM20	TOM22	DB-X AD-Y	scPRSv2	0	0	0			
YGR082W	YNL131W	TOM20	TOM22	DB-Y AD-X	scPRSv2	0	0	0			
YJL002C	YEL002C	OST1	WBP1	DB-X AD-Y	scPRSv2	0	0	0			
YJL002C	YEL002C	OST1	WBP1	DB-Y AD-X	scPRSv2	0	0	0			
YMR149W	YEL002C	SWP1	WBP1	DB-X AD-Y	scPRSv2	AA	0	0			
YMR149W	YEL002C	SWP1	WBP1	DB-Y AD-X	scPRSv2	0	0	0			
YKL196C	YLR026C	YKT6	SED5	DB-X AD-Y	scPRSv2	0	0	0			
YKL196C	YLR026C	YKT6	SED5	DB-Y AD-X	scPRSv2	0	0	0			
YLR293C	YIL063C	GSP1	YRB2	DB-X AD-Y	scPRSv2	0	0	0			
YLR293C	YIL063C	GSP1	YRB2	DB-Y AD-X	scPRSv2	0	0	0			
YDR356W	YBR109C	SPC110	CMD1	DB-X AD-Y	scPRSv2	0	0	0			
YDR356W	YBR109C	SPC110	CMD1	DB-Y AD-X	scPRSv2	0	0	0			
YLR229C	YBR200W	CDC42	BEM1	DB-X AD-Y	scPRSv2	0	0	0			
YLR229C	YBR200W	CDC42	BEM1	DB-Y AD-X	scPRSv2	0	0	0			
YKR068C	YOR115C	BET3	TRS33	DB-X AD-Y	scPRSv2	0	0	0			
YKR068C	YOR115C	BET3	TRS33	DB-Y AD-X	scPRSv2	AA	AA	0			
YGL049C	YER165W	TIF4632	PAB1	DB-X AD-Y	scPRSv2	0	0	0			
YGL049C	YER165W	TIF4632	PAB1	DB-Y AD-X	scPRSv2	0	NAN	0			
YDL208W	YNL124W	NHP2	NAF1	DB-X AD-Y	scPRSv2	0	NAN	AA			
YDL208W	YNL124W	NHP2	NAF1	DB-Y AD-X	scPRSv2	0	0	0			
YLR229C	YHL007C	CDC42	STE20	DB-X AD-Y	scPRSv2	0	NAN	AA			
YLR229C	YHL007C	CDC42	STE20	DB-Y AD-X	scPRSv2	AA	0	0			
YMR203W	YNL131W	TOM40	TOM22	DB-X AD-Y	scPRSv2	0	NAN	0			
YMR203W	YNL131W	TOM40	TOM22	DB-Y AD-X	scPRSv2	0	0	0			
YPL063W	YNR017W	TIM50	TIM23	DB-X AD-Y	scPRSv2	0	0	0			
YPL063W	YNR017W	TIM50	TIM23	DB-Y AD-X	scPRSv2	AA	0	0			
YKR066C	YJR048W	CCP1	CYC1	DB-X AD-Y	scPRSv2	0	NAN	0			
YKR066C	YJR048W	CCP1	CYC1	DB-Y AD-X	scPRSv2	0	0	0			
YBR254C	YKR068C	TRS20	BET3	DB-X AD-Y	scPRSv2	AA	AA	0			
YBR254C	YKR068C	TRS20	BET3	DB-Y AD-X	scPRSv2	AA	0	0			
YLR347C	YOR098C	KAP95	NUP1	DB-X AD-Y	scPRSv2	0	0	0			
YLR347C	YOR098C	KAP95	NUP1	DB-Y AD-X	scPRSv2	0	0	0			
YDR097C	YBR088C	MSH6	POL30	DB-X AD-Y	scPRSv2	NAN	0	0			
YDR097C	YBR088C	MSH6	POL30	DB-Y AD-X	scPRSv2	AA	0	0			
YJR045C	YIL022W	SSC1	TIM44	DB-X AD-Y	scPRSv2	0	0	0			
YJR045C	YIL022W	SSC1	TIM44	DB-Y AD-X	scPRSv2		0	NAN			
YOR362C	YMR314W	PRE10	PRE5	DB-X AD-Y	scPRSv2		0	NAN			
YOR362C	YMR314W	PRE10	PRE5	DB-Y AD-X	scPRSv2	AA	0	0			
YER112W	YJR022W	LSM4	LSM8	DB-X AD-Y	scPRSv2	0	NAN	0			
YER112W	YJR022W	LSM4	LSM8	DB-Y AD-X	scPRSv2		NAN	NAN			
YHR184W	YOR394C-A	SSP1	YOR394C-A	DB-X AD-Y	scRRSv2	0	0	0			confirmed
YHR184W	YOR394C-A	SSP1	YOR394C-A	DB-Y AD-X	scRRSv2	0	0	0			
YOR044W	YKL104C	IRC23	GFA1	DB-X AD-Y	scRRSv2	0	0	0			
YOR044W	YKL104C	IRC23	GFA1	DB-Y AD-X	scRRSv2	0	0	0			
YCL052C	YDR020C	PBN1	DAS2	DB-X AD-Y	scRRSv2	0	0	0			
YCL052C	YDR020C	PBN1	DAS2	DB-Y AD-X	scRRSv2	0	1	0	confirmed		failed
YJL089W	YLR330W	SIP4	CHS5	DB-X AD-Y	scRRSv2	AA	AA	AA	confirmed	failed	
YJL089W	YLR330W	SIP4	CHS5	DB-Y AD-X	scRRSv2	0	0	0			
YLR435W	YGL079W	TSR2	KXD1	DB-X AD-Y	scRRSv2	0	0	AA			failed
YLR435W	YGL079W	TSR2	KXD1	DB-Y AD-X	scRRSv2	AA	AA	AA	failed	failed	
YMR181C	YDL217C	YMR181C	TIM22	DB-X AD-Y	scRRSv2	AA	0	AA		confirmed	
YMR181C	YDL217C	YMR181C	TIM22	DB-Y AD-X	scRRSv2	AA	0	0			failed
YNL092W	YDR443C	YNL092W	SSN2	DB-X AD-Y	scRRSv2	AA	0	AA			
YNL092W	YDR443C	YNL092W	SSN2	DB-Y AD-X	scRRSv2	AA	AA	AA	failed		
YCL059C	YOR128C	KRR1	ADE2	DB-X AD-Y	scRRSv2	0	0	0			
YCL059C	YOR128C	KRR1	ADE2	DB-Y AD-X	scRRSv2	AA	0	0			
YGL209W	YJL025W	MIG2	RRN7	DB-X AD-Y	scRRSv2	0	0	0			
YGL209W	YJL025W	MIG2	RRN7	DB-Y AD-X	scRRSv2	AA	0	0		failed	
YDR026C	YOR178C	NSI1	GAC1	DB-X AD-Y	scRRSv2		0	NAN			
YDR026C	YOR178C	NSI1	GAC1	DB-Y AD-X	scRRSv2	NAN	AA	AA		confirmed	
YHR084W	YHR208W	STE12	BAT1	DB-X AD-Y	scRRSv2	AA	0	AA			
YHR084W	YHR208W	STE12	BAT1	DB-Y AD-X	scRRSv2	0	0	0			
YIR021W-A	YJL049W	YIR021W-A	CHM7	DB-X AD-Y	scRRSv2	0	0	0			
YIR021W-A	YJL049W	YIR021W-A	CHM7	DB-Y AD-X	scRRSv2	AA	0	0			
YDR540C	YDR100W	IRC4	TVP15	DB-X AD-Y	scRRSv2		0	NAN			
YDR540C	YDR100W	IRC4	TVP15	DB-Y AD-X	scRRSv2	0	1	0	failed		
YBR272C	YCR007C	HSM3	YCR007C	DB-X AD-Y	scRRSv2	0	0	0			
YBR272C	YCR007C	HSM3	YCR007C	DB-Y AD-X	scRRSv2	AA	AA	AA	failed	failed	
YNL075W	YOR166C	IMP4	SWT1	DB-X AD-Y	scRRSv2	0	0	0			
YNL075W	YOR166C	IMP4	SWT1	DB-Y AD-X	scRRSv2	AA	AA	AA	failed	confirmed	
YFL060C	YKL161C	SNO3	KDX1	DB-X AD-Y	scRRSv2	0	0	0			
YFL060C	YKL161C	SNO3	KDX1	DB-Y AD-X	scRRSv2	AA	AA	AA	confirmed	confirmed	
YKR010C	YOR358W	TOF2	HAP5	DB-X AD-Y	scRRSv2	0	0	0			
YKR010C	YOR358W	TOF2	HAP5	DB-Y AD-X	scRRSv2	AA	AA	AA	confirmed	confirmed	
YBR053C	YDL224C	YBR053C	WHI4	DB-X AD-Y	scRRSv2	0	0	0			
YBR053C	YDL224C	YBR053C	WHI4	DB-Y AD-X	scRRSv2	AA	AA	AA	confirmed	confirmed	
YMR115W	YCR007C	MGR3	YCR007C	DB-X AD-Y	scRRSv2	0	0	0			
YMR115W	YCR007C	MGR3	YCR007C	DB-Y AD-X	scRRSv2	AA	AA	AA	failed	failed	
YHR021W-A	YER122C	ECM12	GLO3	DB-X AD-Y	scRRSv2	0	AA	0	failed		
YHR021W-A	YER122C	ECM12	GLO3	DB-Y AD-X	scRRSv2	AA	0	AA		failed	
YDL017W	YHR037W	CDC7	PUT2	DB-X AD-Y	scRRSv2	AA	AA	AA	confirmed	confirmed	
YDL017W	YHR037W	CDC7	PUT2	DB-Y AD-X	scRRSv2	0	0	0			
YKL093W	YML021C	MBR1	UNG1	DB-X AD-Y	scRRSv2	AA	AA	AA	confirmed	confirmed	
YKL093W	YML021C	MBR1	UNG1	DB-Y AD-X	scRRSv2	0	0	0			
YMR165C	YNL162W-A	PAH1	YNL162W-A	DB-X AD-Y	scRRSv2	0	NAN	0			
