orf_name	GenBank_accession	orf_space	in_db_space	in_ad_space
YMR288W	DQ331868	II	1	1
YMR289W	DQ331344	II	1	1
YMR290C	DQ332959	II	1	1
YMR291W		II	1	1
YMR292W		III	1	1
YMR293C	DQ331374	II	1	1
YMR294W	DQ333022	II	0	1
YMR295C	AY557969	II	1	1
YMR296C	AY693052	II	1	1
YMR297W	DQ332344	II	1	1
YMR298W	DQ331117	II	1	1
YMR299C	DQ331118	II	0	1
YMR300C	EF058981	II	1	1
YMR301C	EF058983	II	1	1
YMR302C		III	1	1
YMR303C	EF059086	II	1	1
YMR304W	DQ331976	II	0	1
YMR305C	DQ332081	II	1	1
YMR306W		III	0	0
YMR307W	DQ332150	II	1	1
YMR308C		III	1	1
YMR309C	DQ332317	II	1	1
YMR310C	DQ331079	II	1	1
YMR311C	AY557977	II	1	1
YMR312W	AY557983	II	1	1
YMR313C	EF059502	II	1	1
YMR314W	AY557978	II	0	1
YMR315W	AY557991	II	1	1
YMR315W-A	EF058696	II	1	1
YMR316W	EF058753	II	1	1
YMR316C-A		III	1	1
YMR317W		III	1	1
YMR318C	DQ331662	II	1	1
YMR319C		III	1	1
YMR320W		III	1	1
YMR321C		III	1	1
YMR322C	EF058345	II	1	1
YMR323W	EF058353	II	1	1
YMR325W		III	0	0
YNL339C		III	0	0
YNL336W		III	0	0
YNL335W	AY692690	II	1	1
YNL334C	EF058962	II	1	1
YNL333W	AY692873	II	1	1
YNL332W	DQ331634	II	1	1
YNL331C	DQ331605	II	0	1
YNL330C	AY692813	II	0	1
YNL329C	EF058814	II	1	1
YNL328C	AY692768	II	1	1
YNL327W	DQ331465	II	1	1
YNL326C	DQ331165	II	1	1
YNL325C	DQ332560	II	1	1
YNL323W	DQ332522	II	1	1
YNL322C	DQ332364	II	1	1
YNL321W		III	1	1
YNL320W	DQ332818	II	1	1
YNL318C		III	0	1
YNL317W	AY693058	II	1	1
YNL316C	EF059503	II	1	1
YNL315C	AY693039	II	1	1
YNL314W	EF059125	II	1	1
YNL313C	DQ331371	II	1	1
YNL312W	DQ331980	II	1	1
YNL311C	AY692711	II	1	1
YNL310C	AY558366	II	1	1
YNL309W	EF059052	II	0	1
YNL308C		III	0	1
YNL307C	EF058965	II	0	1
YNL306W	AY558132	II	1	1
YNL305C	AY692679	II	1	1
YNL304W	EF058937	II	1	1
YNL302C		III	1	1
YNL301C	DQ332859	II	1	1
YNL300W	AY692649	II	1	1
YNL299W		III	1	1
YNL298W	DQ332082	II	1	1
YNL297C	EF059095	II	1	1
YNL295W		II	1	1
YNL294C	DQ332671	II	1	1
YNL293W		III	0	1
YNL292W	EF059001	II	1	1
YNL291C	DQ331795	II	1	1
YNL290W	EF058913	II	1	1
YNL289W	DQ331810	II	1	1
YNL288W	DQ331701	II	0	1
YNL287W	DQ331680	II	1	1
YNL286W	AY558016	II	1	1
YNL284C	DQ331494	II	1	1
YNL283C	DQ332622	II	1	1
YNL282W	EF059460	II	1	1
YNL281W	EF059452	II	1	1
YNL280C	DQ332593	II	1	1
YNL279W	DQ331892	II	1	1
YNL278W	DQ332670	II	1	1
YNL277W-A	DQ331426	II	1	1
YNL277W	EF059039	II	1	1
YNL275W	EF058550	II	1	1
YNL274C	AY692660	II	1	1
YNL273W		III	0	0
YNL272C	EF058864	II	1	1
YNL271C		III	1	1
YNL270C		III	1	1
YNL269W	DQ331070	II	1	1
YNL268W	EF058411	II	1	1
YNL267W		III	1	1
YNL265C	DQ332970	II	1	1
YNL264C	AY692928	II	1	1
YNL263C	DQ331782	II	1	1
YNL262W		III	0	0
YNL261W	DQ331764	II	1	1
YNL260C	EF058522	II	1	1
YNL259C	AY558367	II	0	1
YNL258C	DQ331630	II	1	1
YNL257C	DQ331607	II	1	1
YNL256W	DQ331472	II	1	1
YNL255C	AY558002	II	1	1
YNL254C	AY558024	II	1	1
YNL253W	AY558028	II	1	1
YNL252C	AY558015	II	1	1
YNL251C		III	1	1
YNL250W	DQ332521	II	1	1
YNL249C	AY723861	II	0	1
YNL248C	AY558027	II	1	1
YNL247W		III	0	1
YNL246W		III	0	1
YNL245C	AY693108	II	1	1
YNL244C	EF059214	II	1	1
YNL243W	EF059209	II	1	1
YNL242W		III	0	1
YNL241C	AY692998	II	1	1
YNL240C	AY692992	II	1	1
YNL239W	DQ332004	II	1	1
YNL238W	DQ331992	II	1	1
YNL237W	DQ331973	II	1	1
YNL236W		III	1	1
YNL234W	DQ331332	II	1	1
YNL233W	DQ331748	II	1	1
YNL232W	DQ332907	II	1	1
YNL231C	AY558020	II	1	1
YNL230C	DQ332669	II	1	1
YNL229C	EF058989	II	0	1
YNL227C	EF058513	II	1	1
YNL225C	DQ331559	II	0	1
YNL224C	DQ331215	II	1	1
YNL223W	EF058409	II	1	1
YNL222W	AY558421	II	1	1
YNL221C	DQ332536	II	1	1
YNL220W	DQ332528	II	1	1
YNL219C	DQ333158	II	1	1
YNL218W	AY693190	II	1	1
YNL217W	AY558018	II	1	1
YNL216W	DQ332581	II	0	1
YNL215W	DQ332346	II	1	1
YNL214W	EF059294	II	1	1
YNL213C	DQ331063	II	1	1
YNL212W	DQ332668	II	1	1
YNL211C	EF058333	II	1	1
YNL210W	AY693028	II	1	1
YNL209W	EF059248	II	1	1
YNL208W	DQ331076	II	1	1
YNL207W	EF059225	II	1	1
YNL206C	DQ332045	II	0	1
YNL204C	AY693126	II	1	1
YNL202W	AY693119	II	0	1
YNL201C	DQ331119	II	1	1
YNL200C	AY692583	II	1	1
YNL199C	DQ333040	II	0	1
YNL197C	EF059233	II	0	1
YNL196C	EF058354	II	1	1
YNL195C	DQ331038	II	1	1
YNL194C	DQ331035	II	1	1
YNL193W		III	1	0
YNL192W	DQ331902	II	1	1
YNL191W	AY692717	II	1	1
YNL190W	DQ331341	II	1	1
YNL189W	DQ332928	II	1	1
YNL188W	AY692882	II	0	1
YNL187W		III	0	1
YNL186W	DQ331645	II	1	1
YNL185C		III	1	1
YNL184C	AY693305	II	1	1
YNL183C	EF058813	II	0	1
YNL182C	EF058448	II	1	1
YNL181W	DQ331218	II	1	1
YNL180C	EF059423	II	1	1
YNL178W	DQ331506	II	1	1
YNL177C	DQ332576	II	1	1
YNL176C	EF058419	II	1	1
YNL175C	DQ332555	II	1	1
YNL173C	DQ332366	II	1	1
YNL172W		III	0	1
YNL169C	DQ332227	II	1	1
YNL168C	DQ331031	II	1	1
YNL167C	DQ332011	II	1	1
YNL166C	DQ331996	II	1	1
YNL165W	DQ331375	II	1	1
YNL164C	DQ331881	II	0	1
YNL163C	DQ331867	II	1	1
YNL162W-A	DQ331265	II	0	1
YNL162W		III	0	1
YNL161W		III	0	1
YNL160W	DQ331745	II	1	1
YNL159C	EF059067	II	0	1
YNL158W	DQ332801	II	1	1
YNL157W	AY558004	II	1	1
YNL156C	AY692695	II	1	1
YNL155W	AY692693	II	1	1
YNL154C	DQ331613	II	1	1
YNL153C	AY692812	II	1	1
YNL152W	AY558026	II	1	1
YNL151C	DQ332830	II	1	1
YNL149C	DQ332767	II	1	1
YNL148C	EF058822	II	1	1
YNL147W	DQ331486	II	1	1
YNL146C-A		III	1	1
YNL146W		III	1	1
YNL145W	AY693189	II	1	1
YNL144C		III	1	1
YNL143C		III	1	1
YNL142W	DQ332343	II	1	1
YNL141W	DQ333074	II	1	1
YNL140C	AY693303	II	1	1
YNL139C	DQ332408	II	1	1
YNL138W-A		III	1	1
YNL138W	DQ333103	II	1	1
YNL137C	DQ332217	II	1	1
YNL136W	EF058361	II	1	1
YNL135C	AY557997	II	1	1
YNL134C	AY558022	II	1	1
YNL133C	AY558006	II	1	1
YNL132W	DQ332038	II	1	1
YNL131W	DQ332020	II	1	1
YNL130C		III	1	1
YNL130C-A	EF058726	II	1	1
YNL129W	AY558011	II	1	1
YNL128W		II	0	1
YNL127W	DQ332496	II	1	1
YNL126W	DQ332463	II	1	1
YNL125C	DQ332313	II	1	1
YNL124W	DQ332301	II	1	1
YNL123W		III	0	1
YNL122C	AY692589	II	0	1
YNL121C	EF058918	II	1	1
YNL119W	AY723860	II	1	1
YNL118C	EF058798	II	1	1
YNL117W		II	1	1
YNL116W	EF058403	II	1	1
YNL115C	AY692627	II	1	1
YNL113W	AY558001	II	1	1
YNL112W		III	1	1
YNL111C	AY693106	II	1	1
YNL110C	AY693098	II	1	1
YNL108C	EF058344	II	1	1
YNL107W	AY693049	II	1	1
YNL106C	DQ332127	II	1	1
YNL104C	EF059110	II	1	1
YNL103W		III	0	1
YNL102W		III	1	1
YNL101W	DQ331863	II	1	1
YNL100W	AY692704	II	1	1
YNL099C	DQ332424	II	1	1
YNL098C	DQ333061	II	1	1
YNL097C-B	EF058690	II	1	1
YNL097C	AY693076	II	1	1
YNL096C	DQ333046	II	0	1
YNL095C	EF058315	II	1	1
YNL094W	EF058312	II	1	1
YNL093W	AY558420	II	1	1
YNL092W	DQ332817	II	0	1
YNL091W	EF059106	II	0	1
YNL090W	DQ332964	II	1	1
YNL088W		III	1	1
YNL087W		III	0	1
YNL086W	AY558520	II	1	1
YNL084C	EF058995	II	1	1
YNL083W		III	1	1
YNL082W		III	1	1
YNL081C		III	1	1
YNL080C	DQ332773	II	1	1
YNL079C	AY692838	II	1	1
YNL078W	DQ331654	II	0	1
YNL077W	AY723859	II	1	1
YNL076W	EF058834	II	1	1
YNL075W	DQ331496	II	1	1
YNL074C	AY692774	II	1	1
YNL073W	DQ331478	II	1	1
YNL072W	DQ332604	II	1	1
YNL071W	AY693185	II	1	1
YNL070W	AY558519	II	1	1
YNL069C		III	1	1
YNL068C	DQ332417	II	0	1
YNL067W-B		III	1	1
YNL067W	AY693129	II	1	1
YNL066W	AY693128	II	0	1
YNL065W	AY693122	II	1	1
YNL064C		III	1	0
YNL063W	AY692585	II	1	1
YNL062C	EF059229	II	1	1
YNL061W	AY693060	II	1	1
YNL059C	DQ331444	II	1	1
YNL058C	AY692736	II	0	1
YNL056W	AY692633	II	1	1
YNL055C	DQ332504	II	1	1
YNL054W	DQ332495	II	1	1
YNL053W	EF059366	II	1	1
YNL052W	AY558131	II	1	1
YNL051W	DQ332300	II	1	1
YNL050C		III	1	1
YNL049C	AY692828	II	1	1
YNL048W		III	1	1
YNL047C	AY692658	II	1	1
YNL046W	EF058492	II	1	1
YNL045W	EF058453	II	1	1
YNL044W		III	1	1
YNL042W-B	EF058673	II	1	1
YNL042W	DQ331205	II	1	1
YNL041C		III	0	1
YNL040W		III	1	1
YNL039W	DQ332374	II	1	1
YNL038W	AY693112	II	0	1
YNL037C	DQ332328	II	1	1
YNL036W		III	0	1
YNL035C	EF058343	II	1	1
YNL034W		III	1	1
YNL032W	EF059171	II	0	1
YNL031C	AY692987	II	1	1
YNL030W		III	1	1
YNL029C		III	1	1
YNL027W		II	0	1
YNL026W		II	1	1
YNL025C	DQ331746	II	0	1
YNL024C-A	EF058720	II	1	1
YNL024C	DQ331304	II	1	1
YNL023C	DQ332667	II	1	1
YNL022C		II	1	1
YNL021W	DQ331569	II	0	1
YNL020C	DQ331534	II	1	1
YNL019C	EF058658	II	1	1
YNL018C	EF058472	II	1	1
YNL016W		III	1	1
YNL015W	AY693217	II	1	1
YNL014W	DQ332645	II	1	1
YNL012W	EF059383	II	1	1
YNL011C	EF058395	II	1	1
YNL010W	DQ331136	II	1	1
YNL009W	AY693154	II	1	1
YNL008C		III	1	1
YNL007C	DQ332327	II	1	1
YNL006W	EF059293	II	0	1
YNL005C	AY693088	II	0	1
YNL004W		III	1	1
YNL003C		III	1	1
YNL002C	AY693031	II	1	1
YNL001W	DQ332666	II	1	1
YNR001C	DQ332672	II	1	1
YNR002C	DQ332043	II	1	1
YNR003C		III	0	1
YNR004W	AY692584	II	1	1
YNR006W	EF059251	II	1	1
YNR007C		III	1	1
YNR008W	DQ333135	II	1	1
YNR009W	AY692622	II	1	1
YNR010W	AY558422	II	0	1
YNR011C	EF058974	II	1	1
YNR012W		III	1	1
YNR013C		III	1	0
YNR014W	DQ331372	II	1	1
YNR015W	DQ332002	II	1	1
YNR016C	EF059504	II	1	1
YNR017W	DQ332033	II	0	1
YNR018W	EF058351	II	1	1
YNR019W	DQ332176	II	1	1
YNR020C	DQ332768	II	1	1
YNR021W	EF058531	II	1	1
YNR022C	DQ331681	II	1	1
YNR023W	DQ332935	II	0	1
YNR024W	EF058659	II	1	1
YNR026C		III	1	1
YNR027W	AY692946	II	1	1
YNR028W	AY692954	II	1	1
YNR029C		II	1	1
YNR029C		II	1	1
YNR030W	AY692956	II	1	1
YNR031C	EF059092	II	0	1
YNR032W	AY558021	II	1	1
YNR032C-A	AY558559	II	1	1
YNR033W	AY693029	II	1	1
YNR034W	EF059505	II	1	1
YNR034W-A	DQ331250	II	1	1
YNR035C	DQ332249	II	1	1
YNR036C	AY558003	II	1	1
YNR037C		III	1	1
YNR038W	EF059300	II	1	1
YNR039C	AY693105	II	1	1
YNR040W	EF058660	II	1	1
YNR041C	AY693097	II	1	1
YNR043W	AY693152	II	1	1
YNR044W		III	0	1
YNR045W	EF059475	II	1	1
YNR046W	EF058651	II	1	1
YNR047W		III	1	1
YNR048W	EF058445	II	1	1
YNR049C	AY558423	II	1	1
YNR050C	AY693210	II	1	1
YNR051C	AY692784	II	1	1
YNR052C	AY692792	II	0	1
YNR053C		III	1	1
YNR054C	EF058661	II	1	1
YNR055C	EF058934	II	1	1
YNR056C	DQ331735	II	1	1
YNR057C	AY558424	II	1	1
YNR058W	AY723862	II	1	1
YNR059W	DQ331871	II	1	1
YNR060W	EF059038	II	1	1
YNR061C	AY558009	II	1	1
YNR062C	EF058629	II	1	1
YNR063W	EF058662	II	0	1
YNR064C	AY558017	II	1	1
YNR065C		III	0	1
YNR066C	EF058342	II	1	1
YNR067C	DQ332673	II	1	1
YNR068C	AY558014	II	1	1
YNR069C	AY723863	II	1	1
YNR070W		III	0	1
YNR071C	AY558019	II	1	1
YNR072W	EF059403	II	1	1
YNR073C		III	0	0
YNR074C	EF058405	II	1	1
YNR075W	EF058782	II	1	1
YNR075C-A	EF058682	II	1	1
YNR076W	EF058797	II	1	1
YNR077C		III	1	1
YOL166W-A	DQ331417	II	1	1
YOL165C	DQ331643	II	1	1
YOL164W-A	DQ331428	II	1	1
YOL164W	EF058521	II	1	1
YOL163W	AY692667	II	1	1
YOL162W	EF058456	II	1	1
YOL161C	AY692641	II	1	1
YOL159C-A	EF058510	II	1	1
YOL159C	EF058470	II	1	1
YOL158C	DQ331513	II	1	1
YOL157C	EF058463	II	1	1
YOL156W	EF059437	II	1	1
YOL155W-A	EF058709	II	1	1
YOL155C		III	1	1
YOL154W	AY693221	II	1	1
YOL152W		III	0	1
YOL151W	AY558040	II	1	1
YOL149W	AY558431	II	1	1
YOL148C	DQ332226	II	0	1
YOL147C	AY558010	II	1	1
YOL146W	AY693220	II	1	1
YOL146W	DQ333173	II	1	1
YOL145C		III	0	1
YOL144W	DQ332994	II	1	1
YOL143C	AY558430	II	1	1
YOL142W	AY692926	II	1	1
YOL141W	DQ332956	II	1	1
YOL140W	DQ332949	II	1	1
YOL139C	AY692936	II	1	1
YOL138C	EF058606	II	1	1
YOL137W	AY692901	II	0	1
YOL136C	EF058994	II	1	1
YOL135C	AY692889	II	1	1
YOL133W	DQ331618	II	1	1
YOL132W	DQ331594	II	1	1
YOL131W	AY692653	II	0	1
YOL130W	AY692762	II	0	1
YOL129W	AY692833	II	1	1
YOL128C	DQ331500	II	1	1
YOL127W	DQ332845	II	1	1
YOL126C	DQ331481	II	1	1
YOL125W	DQ331227	II	1	1
YOL124C	DQ331178	II	1	1
YOL123W	DQ332592	II	1	1
YOL122C	DQ332360	II	1	1
YOL121C	EF059507	II	1	1
YOL120C	EF059285	II	0	1
YOL119C	DQ333105	II	1	1
YOL117W	DQ332402	II	1	1
YOL116W	DQ333045	II	0	1
YOL115W	AY723865	II	1	1
YOL114C	AY558007	II	1	1
YOL113W	AY693219	II	0	1
YOL112W	EF059506	II	1	1
YOL111C	DQ331033	II	1	1
YOL110W	EF059132	II	0	1
YOL109W	AY693207	II	1	1
YOL108C	AY693163	II	0	1
YOL107W	DQ331150	II	1	1
YOL105C	DQ333123	II	1	1
YOL104C	AY693102	II	1	1
YOL103W	DQ332286	II	1	1
YOL102C	DQ333057	II	1	1
YOL101C	AY692588	II	1	1
YOL100W	EF058926	II	1	1
YOL098C	EF058620	II	1	1
YOL097W-A	DQ331435	II	1	1
YOL097C	AY692948	II	1	1
YOL096C	DQ331788	II	1	1
YOL095C	DQ331780	II	1	1
YOL094C	DQ331776	II	1	1
YOL093W	DQ332919	II	1	1
YOL092W	DQ331278	II	1	1
YOL091W	DQ331637	II	1	1
YOL090W	EF058885	II	1	1
YOL089C	EF058915	II	1	1
YOL088C	EF058857	II	1	1
YOL087C	DQ331385	II	1	1
YOL086W-A	EF058509	II	1	1
YOL086C	DQ332851	II	1	1
YOL085C	AY558428	II	1	1
YOL084W	EF058835	II	1	1
YOL083W	DQ331170	II	0	1
YOL082W	AY693174	II	0	1
YOL081W		III	1	1
YOL080C	DQ332676	II	1	1
YOL078W		III	0	1
YOL077W-A	AY692842	II	1	1
YOL077C	EF059273	II	1	1
YOL076W	AY693080	II	1	1
YOL075C		III	0	1
YOL073C		III	1	1
YOL072W	DQ332001	II	1	1
YOL071W	DQ331991	II	1	1
YOL070C	EF058600	II	1	1
YOL069W	AY692955	II	1	1
YOL068C	EF059074	II	1	1
YOL067C	AY692940	II	0	1
YOL066C	DQ331909	II	1	1
YOL065C	DQ332940	II	1	1
YOL064C	DQ332937	II	1	1
YOL063C	AY692696	II	1	1
YOL062C	DQ331794	II	1	1
YOL061W	EF058985	II	1	1
YOL060C	AY692822	II	0	1
YOL059W	AY558560	II	1	1
YOL058W		III	0	1
YOL057W	DQ331384	II	1	1
YOL056W	DQ331647	II	1	1
YOL055C	AY692780	II	1	1
YOL054W	EF058461	II	1	1
YOL053W	DQ331230	II	1	1
YOL052C-A	EF059055	II	1	1
YOL052C	DQ332675	II	1	1
YOL051W		III	0	1
YOL049W	AY723864	II	1	1
YOL048C		II	1	1
YOL047C	DQ331125	II	1	1
YOL045W		III	0	1
YOL044W	EF059341	II	0	1
YOL043C	DQ332216	II	1	1
YOL042W	AY693067	II	1	1
YOL041C	DQ332193	II	1	1
YOL040C	AY558426	II	1	1
YOL039W	AY692793	II	1	1
YOL038C-A	EF058716	II	1	1
YOL038W	DQ332826	II	1	1
YOL036W	DQ331383	II	1	1
YOL034W	EF059382	II	1	1
YOL033W	DQ332674	II	1	1
YOL032W	EF058393	II	1	1
YOL031C	AY693101	II	1	1
YOL031C	DQ332312	II	1	1
YOL030W	AY693093	II	1	1
YOL029C	AY558425	II	1	1
YOL028C	AY558012	II	1	1
YOL027C	DQ331606	II	0	1
YOL026C	AY557996	II	1	1
YOL025W	EF058811	II	1	1
YOL024W	AY558005	II	1	1
YOL023W	EF058785	II	1	1
YOL022C	AY558025	II	1	1
YOL021C	DQ332565	II	0	1
YOL020W	DQ332562	II	1	1
YOL019W-A	EF058710	II	1	1
YOL019W	EF058414	II	1	1
YOL018C	AY693218	II	1	1
YOL017W	DQ332356	II	1	1
YOL016C	EF059296	II	1	1
YOL015W	EF058374	II	1	1
YOL014W	AY557999	II	1	1
YOL013W-A		III	1	1
YOL013C	DQ332140	II	1	1
YOL012C	AY558000	II	1	1
YOL011W	EF059170	II	1	1
YOL010W		III	1	1
YOL009C	AY558013	II	1	1
YOL008W	AY558008	II	1	1
YOL007C	DQ332806	II	1	1
YOL006C	DQ331865	II	1	1
YOL005C	AY557998	II	0	1
YOL004W		III	0	0
YOL003C	AY558023	II	1	1
YOL002C	DQ331294	II	1	1
YOL001W	DQ332893	II	0	1
YOR001W	AY692850	II	1	1
YOR001W	DQ331689	II	1	1
YOR002W	AY692895	II	0	1
YOR003W	DQ332941	II	1	1
YOR004W	DQ331330	II	0	1
YOR005C	EF059014	II	1	1
YOR006C	DQ332810	II	1	1
YOR007C	EF059077	II	0	1
YOR008C	DQ332677	II	1	1
YOR008C-A	EF058394	II	1	1
YOR009W	DQ331968	II	0	1
YOR010C	DQ331950	II	1	1
YOR011W		III	1	1
YOR011W-A	DQ331411	II	1	1
YOR012W	AY692569	II	1	1
YOR014W	DQ332258	II	1	1
YOR015W		III	1	1
YOR016C	AY693089	II	1	1
YOR017W		II	0	1
YOR018W	DQ332678	II	1	1
YOR019W	DQ331142	II	1	1
YOR020C	AY693222	II	1	1
YOR020W-A	DQ331424	II	1	1
YOR021C	DQ331133	II	1	1
YOR022C	DQ331141	II	1	1
YOR023C	EF059380	II	1	1
YOR025W	AY723866	II	1	1
YOR026W	DQ331442	II	1	1
YOR027W	DQ332828	II	1	1
YOR028C	DQ332854	II	1	1
YOR029W		III	1	1
YOR030W	DQ331529	II	1	1
YOR032C	DQ331562	II	0	1
YOR032W-A	EF058678	II	1	1
YOR033C	DQ331691	II	0	1
YOR034C	DQ331715	II	1	1
YOR034C-A		III	1	1
YOR035C	DQ331730	II	1	1
YOR036W	EF059015	II	1	1
YOR037W	EF059031	II	1	1
YOR038C		III	0	1
YOR039W	AY692981	II	1	1
YOR040W	AY692965	II	1	1
YOR042W	AY558044	II	1	1
YOR043W	DQ332123	II	1	1
YOR044W	AY692575	II	1	1
YOR045W	AY693051	II	1	1
YOR046C	DQ333032	II	1	1
YOR047C	DQ333071	II	0	1
YOR048C	DQ332330	II	1	1
YOR049C	DQ332345	II	1	1
YOR051C	AY558045	II	0	1
YOR052C	AY558030	II	1	1
YOR054C	DQ331452	II	1	1
YOR056C	EF058801	II	1	1
YOR057W	AY558043	II	1	1
YOR058C	DQ331587	II	1	1
YOR059C	EF058512	II	1	1
YOR060C	DQ331088	II	1	1
YOR061W	AY723867	II	1	1
YOR062C	DQ331096	II	1	1
YOR063W	DQ332449	II	1	1
YOR064C	AY557753	II	1	1
YOR065W	EF059508	II	1	1
YOR066W	AY692621	II	0	1
YOR067C	EF059393	II	1	1
YOR069W	AY558035	II	1	1
YOR068C	EF059478	II	1	1
YOR070C		II	0	1
YOR071C	EF058320	II	1	1
YOR072W-B	DQ331418	II	1	1
YOR073W	EF058360	II	1	1
YOR074C	DQ333039	II	1	1
YOR075W	DQ332230	II	1	1
YOR076C	EF059509	II	1	1
YOR077W	EF059347	II	1	1
YOR078W	DQ332416	II	1	1
YOR079C	AY558037	II	1	1
YOR080W		III	1	1
YOR081C	DQ331168	II	1	1
YOR083W	AY558033	II	0	1
YOR084W	AY692642	II	0	1
YOR085W	AY558041	II	1	1
YOR086C		III	0	1
YOR087W	DQ332679	II	1	1
YOR089C	DQ331651	II	1	1
YOR090C		III	1	1
YOR091W	DQ331268	II	1	1
YOR092W	AY692826	II	1	1
YOR093C	DQ331315	II	1	1
YOR094W	AY557751	II	1	1
YOR095C	DQ332680	II	1	1
YOR096W		III	1	1
YOR097C	AY692718	II	1	1
YOR098C	EF059069	II	1	1
YOR099W		III	1	1
YOR100C	AY693195	II	1	1
YOR101W	DQ332637	II	1	1
YOR103C	DQ331519	II	1	1
YOR104W	AY557759	II	1	1
YOR105W		III	0	0
YOR106W	DQ332896	II	1	1
YOR107W	AY692864	II	1	1
YOR108W	EF059510	II	1	1
YOR109W	DQ331846	II	1	1
YOR110W	AY692910	II	0	1
YOR111W	AY692705	II	0	1
YOR112W	DQ331386	II	1	1
YOR113W	DQ331959	II	0	1
YOR114W	DQ332813	II	0	1
YOR115C	DQ332991	II	1	1
YOR116C		III	0	1
YOR117W	DQ332139	II	1	1
YOR118W	DQ332730	II	1	1
YOR119C	DQ332158	II	1	1
YOR120W	DQ332290	II	0	1
YOR122C		III	1	1
YOR123C	EF059376	II	1	1
YOR124C		III	0	1
YOR125C	DQ333147	II	1	1
YOR126C	AY557754	II	1	1
YOR127W	DQ331462	II	1	1
YOR128C	EF059511	II	1	1
YOR129C	DQ332838	II	1	1
YOR130C	EF058901	II	1	1
YOR131C	DQ331387	II	1	1
YOR132W	DQ333049	II	1	1
YOR133W	DQ332255	II	1	1
YOR134W	DQ332273	II	1	1
YOR136W	DQ332450	II	1	1
YOR137C	DQ332461	II	1	1
YOR138C	AY692617	II	0	1
YOR140W		III	1	0
YOR141C	DQ332403	II	0	1
YOR142W	DQ332029	II	1	1
YOR143C	DQ333006	II	1	1
YOR144C		III	1	1
YOR145C	DQ332056	II	1	1
YOR147W	EF059250	II	1	1
YOR148C	DQ333044	II	0	1
YOR149C	EF059338	II	1	1
YOR150W	AY558133	II	1	1
YOR151C	DQ332682	II	1	1
YOR152C	AY557755	II	1	1
YOR153W	DQ332357	II	0	1
YOR154W	EF058425	II	1	1
YOR155C	DQ332683	II	1	1
YOR156C	DQ332602	II	1	1
YOR157C	DQ333159	II	1	1
YOR158W	DQ331488	II	0	1
YOR159C	AY558029	II	1	1
YOR160W	DQ332654	II	1	1
YOR161C	AY692637	II	0	1
YOR161C-C		III	1	1
YOR162C	AY692760	II	1	1
YOR163W	AY558436	II	1	1
YOR164C	AY558036	II	0	1
YOR165W	DQ331787	II	1	1
YOR166C		II	0	1
YOR167C	DQ332931	II	1	1
YOR168W	EF059512	II	1	1
YOR171C	EF058953	II	1	1
YOR172W	AY692707	II	0	1
YOR173W		III	1	1
YOR174W	DQ331879	II	0	1
YOR175C		III	0	1
YOR176W	EF059119	II	1	1
YOR177C	EF059122	II	1	1
YOR178C	EF059128	II	1	1
YOR179C	DQ333042	II	0	1
YOR180C	AY558432	II	1	1
YOR181W	EF059212	II	1	1
YOR182C		III	0	0
YOR183W	DQ331114	II	1	1
YOR184W	DQ332381	II	1	1
YOR185C	AY693117	II	1	1
YOR186W	AY692628	II	1	1
YOR187W	DQ333155	II	1	1
YOR188W	DQ332583	II	1	1
YOR189W	EF058841	II	1	1
YOR190W	AY723868	II	1	1
YOR191W		III	0	1
YOR192C	EF058663	II	1	1
YOR192C-C		III	0	1
YOR193W	AY723869	II	1	1
YOR194C	AY693223	II	1	1
YOR195W	EF058887	II	1	1
YOR196C	AY558046	II	1	1
YOR197W	AY692832	II	0	1
YOR198C	DQ331765	II	1	1
YOR201C	EF059492	II	0	1
YOR202W	EF058763	II	0	0
YOR204W	DQ332888	II	1	1
YOR205C	DQ332788	II	1	1
YOR206W	DQ332256	II	1	1
YOR207C	DQ332268	II	1	1
YOR208W	EF059292	II	1	1
YOR209C	DQ332436	II	1	1
YOR210W	AY558433	II	1	1
YOR211C	DQ332202	II	1	1
YOR212W	DQ332388	II	0	1
YOR213C	DQ332392	II	1	1
YOR214C		III	1	0
YOR215C	AY557752	II	1	1
YOR216C	DQ332034	II	1	1
YOR217W	DQ332052	II	1	1
YOR219C	DQ332197	II	1	1
YOR220W	AY557757	II	1	1
YOR221C		III	1	1
YOR222W	EF059173	II	1	1
YOR223W	DQ332728	II	1	1
YOR224C	AY693087	II	0	1
YOR226C	DQ332339	II	1	1
YOR227W	EF058426	II	1	1
YOR228C	AY558034	II	1	1
YOR229W	DQ332608	II	1	1
YOR230W	AY693156	II	1	1
YOR231W	DQ333142	II	0	1
YOR232W	EF059513	II	0	1
YOR233W		III	1	1
YOR234C		III	1	1
YOR236W	DQ331578	II	1	1
YOR237W	DQ332875	II	0	1
YOR238W	DQ331313	II	1	1
YOR239W	DQ332929	II	1	1
YOR241W	AY692818	II	1	1
YOR242C	DQ332899	II	1	1
YOR243C	DQ331724	II	1	1
YOR244W	EF058959	II	0	1
YOR245C		III	0	1
YOR246C	DQ331335	II	1	1
YOR247W	DQ331880	II	1	1
YOR249C	DQ331988	II	1	1
YOR250C	AY558048	II	1	1
YOR251C	AY692732	II	1	1
YOR252W	DQ331026	II	1	1
YOR253W	AY557750	II	1	1
YOR254C		III	1	1
YOR255W	AY557758	II	1	1
YOR256C	DQ331110	II	1	1
