orf_name	GenBank_accession	orf_space	in_db_space	in_ad_space
YJR044C	AY557891	II	1	1
YJR045C	DQ331615	II	1	1
YJR046W	DQ331789	II	1	1
YJR047C	AY557894	II	1	1
YJR048W	EF058999	II	1	1
YJR049C	AY692899	II	1	1
YJR050W	AY558078	II	1	1
YJR051W		III	1	1
YJR052W	DQ332950	II	1	1
YJR053W		III	1	0
YJR054W	EF058598	II	1	1
YJR055W	AY558097	II	1	1
YJR056C	EF058638	II	1	1
YJR057W	EF059126	II	1	1
YJR058C	AY557893	II	1	1
YJR059W	AY723837	II	1	1
YJR060W	AY557919	II	1	1
YJR061W		III	1	1
YJR062C	DQ332170	II	1	1
YJR063W	AY558313	II	1	1
YJR064W	DQ332379	II	1	1
YJR065C	DQ332385	II	1	1
YJR066W	DQ332566	II	1	1
YJR067C	AY557892	II	0	1
YJR068W	AY557920	II	1	1
YJR069C	AY557897	II	1	1
YJR070C	EF059408	II	1	1
YJR072C	DQ331214	II	1	1
YJR073C	AY557899	II	1	1
YJR074W	DQ331474	II	1	1
YJR075W	AY692827	II	1	1
YJR076C		II	1	1
YJR077C	AY557913	II	1	1
YJR078W	DQ331774	II	1	1
YJR079W	EF058560	II	1	1
YJR080C	EF058556	II	1	1
YJR082C	AY557889	II	0	1
YJR083C	AY557912	II	1	1
YJR084W	DQ333004	II	1	1
YJR085C	AY557887	II	1	1
YJR086W	AY557888	II	1	1
YJR088C	AY723838	II	1	1
YJR089W	EF059246	II	1	1
YJR090C	DQ331564	II	0	1
YJR091C	EF058874	II	1	1
YJR092W		III	0	1
YJR093C	DQ331732	II	0	1
YJR094C		III	1	1
YJR094W-A		III	1	1
YJR095W	AY692924	II	1	1
YJR096W	AY558257	II	1	1
YJR097W	AY558542	II	1	1
YJR098C		III	0	1
YJR099W	DQ332009	II	0	1
YJR100C	EF058631	II	1	1
YJR101W	AY557906	II	1	1
YJR102C	DQ332102	II	1	1
YJR103W		III	1	0
YJR104C	AY558073	II	1	1
YJR105W	AY558082	II	0	1
YJR106W		II	0	1
YJR107W	EF058424	II	1	1
YJR108W	AY558255	II	1	1
YJR109C	DQ332600	II	1	1
YJR110W	DQ331145	II	1	1
YJR111C	DQ332746	II	1	1
YJR112W	AY558256	II	1	1
YJR112W-A		III	0	1
YJR113C	AY557903	II	1	1
YJR115W	EF058446	II	1	1
YJR116W	EF058483	II	1	1
YJR117W	DQ331597	II	1	1
YJR118C	DQ331616	II	1	1
YJR119C		III	1	1
YJR120W	AY692655	II	1	1
YJR121W		III	1	0
YJR122W	EF058940	II	1	1
YJR123W	AY692868	II	1	1
YJR123W	EF058948	II	0	1
YJR124C	AY557924	II	1	1
YJR125C	AY558084	II	1	1
YJR126C	DQ331858	II	1	1
YJR128W		III	1	1
YJR127C	EF059045	II	0	1
YJR129C	DQ331370	II	1	1
YJR130C	AY692979	II	0	1
YJR131W	DQ332998	II	1	1
YJR132W	DQ332005	II	1	1
YJR133W	DQ332143	II	1	1
YJR134C		III	1	1
YJR135C	EF059217	II	1	1
YJR135W-A	AY558258	II	1	1
YJR136C	AY692606	II	1	1
YJR137C		III	0	1
YJR138W		III	0	0
YJR139C	DQ332557	II	1	1
YJR140C		III	0	1
YJR141W	DQ331154	II	1	1
YJR142W	AY558091	II	1	1
YJR143C		III	1	1
YJR144W	DQ332574	II	1	1
YJR145C		III	0	1
YJR146W	AY558259	II	1	1
YJR147W	DQ331475	II	0	1
YJR148W	DQ331625	II	1	1
YJR149W		II	1	1
YJR150C	DQ331624	II	1	1
YJR151C		III	0	1
YJR151W-A		III	1	1
YJR152W	DQ331767	II	1	1
YJR153W	AY558092	II	1	1
YJR154W	AY557917	II	1	1
YJR155W	AY557908	II	0	1
YJR156C		III	1	1
YJR158W		III	1	1
YJR159W	AY693012	II	1	1
YJR160C	EF059500	II	1	1
YJR161C	EF058774	II	0	1
YKL224C	EF058398	II	0	1
YKL222C	DQ331132	II	1	1
YKL221W	EF059356	II	1	1
YKL220C	DQ332418	II	1	1
YKL219W	DQ332457	II	1	1
YKL218C	DQ331101	II	1	1
YKL217W	EF059282	II	1	1
YKL216W	DQ332248	II	1	1
YKL215C		III	1	1
YKL214C	DQ333008	II	1	1
YKL213C	DQ332060	II	1	1
YKL212W	EF059154	II	1	1
YKL211C	DQ331931	II	1	1
YKL210W	DQ331923	II	1	1
YKL209C	DQ332070	II	1	1
YKL208W	AY558395	II	1	1
YKL207W	EF058615	II	1	1
YKL206C	AY558394	II	1	1
YKL205W		III	1	1
YKL204W	DQ331821	II	1	1
YKL203C		III	0	0
YKL201C	DQ331666	II	1	1
YKL198C		III	1	0
YKL197C	DQ332055	II	1	1
YKL196C	AY558393	II	1	1
YKL195W	EF058318	II	1	1
YKL194C	DQ332411	II	1	1
YKL193C	AY558314	II	1	1
YKL192C	AY558392	II	1	1
YKL191W	DQ332383	II	1	1
YKL190W		III	0	1
YKL189W	EF059368	II	1	1
YKL188C	EF059359	II	1	1
YKL187C	EF058370	II	1	1
YKL186C	AY558555	II	1	1
YKL185W	DQ333053	II	1	1
YKL184W	DQ331707	II	1	1
YKL183C-A	DQ331425	II	1	1
YKL183W	DQ331685	II	1	1
YKL182W	EF058906	II	1	1
YKL181W	DQ332824	II	1	1
YKL180W	DQ333171	II	1	1
