orf_name_X	orf_name_Y	gene_name_X	gene_name_Y	orientation	source_dataset	Y2H_v1	Y2H_v4
YKL022C	YHR166C	CDC16	CDC23	DB-Y AD-X	scPRSv2	Autoactivator	Negative
YJL194W	YFL009W	CDC6	CDC4	DB-X AD-Y	scPRSv2	Negative	Negative
YJL194W	YFL009W	CDC6	CDC4	DB-Y AD-X	scPRSv2	Autoactivator	Negative
YPL049C	YBL016W	DIG1	FUS3	DB-X AD-Y	scPRSv2	Negative	Negative
YPL049C	YBL016W	DIG1	FUS3	DB-Y AD-X	scPRSv2	Negative	Negative
YDR309C	YLR229C	GIC2	CDC42	DB-X AD-Y	scPRSv2	Negative	Negative
YDR309C	YLR229C	GIC2	CDC42	DB-Y AD-X	scPRSv2	Negative	Negative
YMR255W	YDL207W	GFD1	GLE1	DB-X AD-Y	scPRSv2	Negative	Negative
YMR255W	YDL207W	GFD1	GLE1	DB-Y AD-X	scPRSv2	Negative	Negative
YLR293C	YER110C	GSP1	KAP123	DB-X AD-Y	scPRSv2	Negative	Negative
YLR293C	YER110C	GSP1	KAP123	DB-Y AD-X	scPRSv2	Negative	Negative
YFR002W	YGR119C	NIC96	NUP57	DB-X AD-Y	scPRSv2	Negative	Negative
YFR002W	YGR119C	NIC96	NUP57	DB-Y AD-X	scPRSv2	Negative	Negative
YJL002C	YOR085W	OST1	OST3	DB-X AD-Y	scPRSv2	Negative	Negative
YJL002C	YOR085W	OST1	OST3	DB-Y AD-X	scPRSv2	Negative	Negative
YMR149W	YJL002C	SWP1	OST1	DB-X AD-Y	scPRSv2	Negative	Negative
YMR149W	YJL002C	SWP1	OST1	DB-Y AD-X	scPRSv2	Negative	Negative
YGR162W	YER165W	TIF4631	PAB1	DB-X AD-Y	scPRSv2	Negative	Negative
YGR162W	YER165W	TIF4631	PAB1	DB-Y AD-X	scPRSv2	Negative	Negative
YEL037C	YGL048C	RAD23	RPT6	DB-X AD-Y	scPRSv2	Negative	Negative
YEL037C	YGL048C	RAD23	RPT6	DB-Y AD-X	scPRSv2	Negative	Negative
YMR309C	YBR079C	NIP1	RPG1	DB-X AD-Y	scPRSv2	Negative	Negative
YMR309C	YBR079C	NIP1	RPG1	DB-Y AD-X	scPRSv2	Negative	Negative
YKL145W	YHR027C	RPT1	RPN1	DB-X AD-Y	scPRSv2	Negative	Negative
YKL145W	YHR027C	RPT1	RPN1	DB-Y AD-X	scPRSv2	Negative	Negative
YFR037C	YCR052W	RSC8	RSC6	DB-X AD-Y	scPRSv2	Negative	Negative
YFR037C	YCR052W	RSC8	RSC6	DB-Y AD-X	scPRSv2	Negative	Negative
YDR388W	YPL249C	RVS167	GYP5	DB-X AD-Y	scPRSv2	Negative	Negative
YDR388W	YPL249C	RVS167	GYP5	DB-Y AD-X	scPRSv2	Negative	Negative
YPL232W	YGR009C	SSO1	SEC9	DB-X AD-Y	scPRSv2	Negative	Negative
YPL232W	YGR009C	SSO1	SEC9	DB-Y AD-X	scPRSv2	Negative	Negative
