orf_name_a	gene_name_a	orf_name_b	gene_name_b	Uetz-screen	Ito-core	CCSB-YI1	YeRI
YBR150C	TBS1	YOL089C	HAL9	False	False	True	False
YBR150C	TBS1	YOR174W	MED4	False	False	True	False
YBR152W	SPP381	YGR075C	PRP38	False	False	True	True
YBR153W	RIB7	YBR153W	RIB7	False	False	True	False
YBR154C	RPB5	YFL023W	BUD27	False	True	False	False
YBR155W	CNS1	YER081W	SER3	False	True	False	False
YBR156C	SLI15	YPL209C	IPL1	False	False	True	False
YBR162W-A	YSY6	YDR160W	SSY1	False	False	False	True
YBR162W-A	YSY6	YJR010C-A	SPC1	False	False	False	True
YBR162W-A	YSY6	YMR153W	NUP53	False	False	False	True
YBR162W-A	YSY6	YPL094C	SEC62	False	False	True	False
YBR165W	UBS1	YBR270C	BIT2	False	False	False	True
YBR165W	UBS1	YGL215W	CLG1	False	False	False	True
YBR165W	UBS1	YGR158C	MTR3	False	False	False	True
YBR166C	TYR1	YBR166C	TYR1	False	False	True	False
YBR166C	TYR1	YLR291C	GCD7	False	False	True	False
YBR167C	POP7	YDL159W	STE7	False	False	False	True
YBR167C	POP7	YER094C	PUP3	False	False	False	True
YBR167C	POP7	YGR030C	POP6	False	False	False	True
YBR168W	PEX32	YHR150W	PEX28	False	False	False	True
YBR170C	NPL4	YDL126C	CDC48	False	True	False	False
YBR170C	NPL4	YDL190C	UFD2	False	False	True	False
YBR170C	NPL4	YDR130C	FIN1	False	False	False	True
YBR170C	NPL4	YGR048W	UFD1	True	True	False	True
YBR170C	NPL4	YIR015W	RPR2	False	False	False	True
YBR170C	NPL4	YLR240W	VPS34	False	False	False	True
YBR170C	NPL4	YMR068W	AVO2	False	False	False	True
YBR173C	UMP1	YGR057C	LST7	False	False	False	True
YBR175W	SWD3	YJR128W		False	False	False	True
YBR175W	SWD3	YKR081C	RPF2	False	False	False	True
YBR176W	ECM31	YBR176W	ECM31	True	False	True	False
YBR176W	ECM31	YGR048W	UFD1	False	False	False	True
YBR176W	ECM31	YLR347C	KAP95	False	True	False	False
YBR176W	ECM31	YML064C	TEM1	False	True	False	False
YBR176W	ECM31	YNL189W	SRP1	False	True	False	False
YBR176W	ECM31	YPL070W	MUK1	False	True	False	False
YBR181C	RPS6B	YEL053C	MAK10	False	False	False	True
YBR182C	SMP1	YER094C	PUP3	False	False	False	True
YBR182C	SMP1	YER125W	RSP5	False	False	True	False
YBR182C	SMP1	YKR027W	BCH2	False	False	False	True
YBR182C	SMP1	YLR368W	MDM30	False	False	False	True
YBR182C	SMP1	YLR423C	ATG17	False	False	True	False
YBR182C	SMP1	YNL193W		False	False	False	True
YBR182C	SMP1	YOR368W	RAD17	False	False	False	True
YBR182C	SMP1	YPL169C	MEX67	False	False	False	True
YBR186W	PCH2	YBR261C	TAE1	False	False	True	False
YBR186W	PCH2	YLR032W	RAD5	False	False	True	False
YBR187W	GDT1	YDR373W	FRQ1	False	False	False	True
YBR187W	GDT1	YNR032W	PPG1	False	True	False	False
YBR188C	NTC20	YDR416W	SYF1	True	True	True	False
YBR188C	NTC20	YKR034W	DAL80	False	False	True	False
YBR188C	NTC20	YLR117C	CLF1	True	False	True	False
YBR188C	NTC20	YMR124W	EPO1	False	False	True	False
YBR188C	NTC20	YMR213W	CEF1	False	False	False	True
YBR193C	MED8	YER022W	SRB4	False	True	False	False
YBR193C	MED8	YGL127C	SOH1	False	True	False	False
